security_id,market,ticker,end_month,case_id,name
SEDOL:882929,UK,TEM,2016-05,SEDOL:BGCZJW9,Templeton Emerging Markets
SEDOL:B188SR5,UK,INPP,2016-06,SEDOL:B3L2G07,International Public Partnerships
SEDOL:342218,UK,JCH,2016-06,SEDOL:B4Z6HJ8,JPMorgan Claverhouse
SEDOL:132077,UK,JAGI,2016-06,SEDOL:BWFGQ20,JPMorgan Asia Growth & Income
SEDOL:B0T4LH6,UK,HICL,2016-06,SEDOL:BYM91M1,HICL Infrastructure
SEDOL:645070,UK,NVT,2016-07,SEDOL:B3K3HN1,Northern Venture Trust
SEDOL:B95CGW7,UK,THRL,2016-08,SEDOL:B00DDX2,Target Healthcare REIT
SEDOL:B18JK16,UK,JEGI,2016-08,SEDOL:B09LK25,JPMorgan European Growth & Income
SEDOL:611190,UK,MYI,2016-08,SEDOL:B1GJYK5,Murray International Trust
SEDOL:343501,UK,JCGI,2016-08,SEDOL:B28M6V4,JPMorgan China Growth & Income
SEDOL:0664020,UK,OT1,2016-08,SEDOL:B41RMC3,Oxford Technology 2 VCT - OT1 shares
SEDOL:B1ZBD49,UK,NBPE,2016-08,SEDOL:B44VMB1,Neuberger Private Equity Partners
NAME:aberdeen asia focus|ordinary share,UK,AAS,2016-08,SEDOL:B4LQCP3,Aberdeen Asia Focus
SEDOL:958057,UK,HHI,2016-08,SEDOL:B560SW6,Henderson High Income Trust
SEDOL:B06T260,UK,WINV,2016-08,SEDOL:B5B6VC0,Worsley Investors
SEDOL:914327,UK,JGGI,2016-09,SEDOL:B1XHVB2,JPMorgan Global Growth & Income
SEDOL:666747,UK,PHI,2016-09,SEDOL:B3D74S4,Pacific Horizon Investment Trust
SEDOL:580007,UK,MRCH,2016-09,SEDOL:B3D7514,Merchants Trust
SEDOL:958057,UK,HHI,2016-09,SEDOL:B8N2KC0,Henderson High Income Trust
SEDOL:B07YBS9,UK,FTF,2016-09,SEDOL:BYP6HV0,Foresight Enterprise VCT
SEDOL:741600,UK,JUGI,2016-10,SEDOL:B0523M3,JPMorgan UK Small Cap Growth & Income
SEDOL:787369,UK,SAIN,2016-10,SEDOL:B0YZHK9,Scottish American
SEDOL:455934,UK,IBT,2016-10,SEDOL:B1G3N00,International Biotechnology
SEDOL:B0DQY35,UK,UEM,2016-10,SEDOL:B1G3N11,Utilico Emerging Markets Trust
SEDOL:682754,UK,PNL,2016-10,SEDOL:B979FD0,Personal Assets Trust
SEDOL:682754,UK,PNL,2016-11,SEDOL:B00MKB6,Personal Assets Trust
SEDOL:B61LT73,UK,FVEN,2016-11,SEDOL:B628S54,Foresight Ventures VCT
SEDOL:B1NPGV1,UK,BHMU,2016-11,SEDOL:BFN0VM0,BH Macro
SEDOL:3047468,UK,PPET,2016-12,SEDOL:B4W1FT2,Patria Private Equity
SEDOL:3115202,UK,NTN,2017-02,SEDOL:3036745,Northern 3 VCT
SEDOL:3386257,UK,GOT,2017-02,SEDOL:553270,Global Opportunities Trust
SEDOL:791887,UK,SDP,2017-02,SEDOL:553281,Schroder AsiaPacific Fund
SEDOL:346340,UK,BASC,2017-02,SEDOL:553322,Brown Advisory US Smaller Companies
SEDOL:341710,UK,JUSC,2017-02,SEDOL:B2PKXF4,JPMorgan US Smaller Companies
SEDOL:453530,UK,IAD,2017-02,SEDOL:BMBN1D1,Invesco Asia Dragon Trust
SEDOL:343501,UK,JCGI,2017-02,SEDOL:BYZKH01,JPMorgan China Growth & Income
NAME:aurora uk alpha|ordinary share,UK,ARR,2017-03,SEDOL:531005,Aurora UK Alpha
SEDOL:149000,UK,BUT,2017-04,SEDOL:B4ZXGJ2,Brunner Investment Trust
NAME:european opportunities|ordinary share,UK,EOT,2017-05,SEDOL:461823,European Opportunities Trust
SEDOL:B18JK16,UK,JEGI,2017-05,SEDOL:B083776,JPMorgan European Growth & Income
SEDOL:3216473,UK,JEMA,2017-05,SEDOL:B1NPGZ5,"JPMorgan Emerging Europe, Middle East & Africa"
SEDOL:413880,UK,PVN,2017-05,SEDOL:B4TR344,ProVen VCT
SEDOL:882532,UK,TMPL,2017-05,SEDOL:B4WLXD2,Temple Bar Investment Trust
SEDOL:3216473,UK,JEMA,2017-05,SEDOL:BYM6LJ9,"JPMorgan Emerging Europe, Middle East & Africa"
SEDOL:589383,UK,MWY,2017-06,SEDOL:B011QL4,Mid Wynd International
SEDOL:506241,UK,NCYF,2017-06,SEDOL:B1YW310,CQS New City High Yield Fund
SEDOL:B28V934,UK,OTV2,2017-06,SEDOL:B3RNDW5,Octopus Titan VCT
SEDOL:132077,UK,JAGI,2017-06,SEDOL:B4XV933,JPMorgan Asia Growth & Income
SEDOL:645070,UK,NVT,2017-06,SEDOL:BYYS2J0,Northern Venture Trust
SEDOL:332231,UK,FAS,2017-07,SEDOL:BFMYZ98,Fidelity Asian Values
SEDOL:B018CS4,UK,RICA,2017-08,SEDOL:B0Q73G1,Ruffer Investment Company
SEDOL:B0HW536,UK,RECI,2017-08,SEDOL:B1FBT07,Real Estate Credit Investments
SEDOL:0664020,UK,OT1,2017-09,SEDOL:B40PR12,Oxford Technology 2 VCT - OT1 shares
SEDOL:BJVDZ94,UK,SMIF,2017-09,SEDOL:B5N4JV7,TwentyFour Select Monthly Income
NAME:biotech growth|ordinary share,UK,BIOG,2017-09,SEDOL:BJT3251,Biotech Growth Trust
SEDOL:736639,UK,RCP,2017-10,SEDOL:B4KQKM7,RIT Capital Partners
SEDOL:BBHX2H9,UK,TRIG,2017-10,SEDOL:B59C119,Renewables Infrastructure Group
SEDOL:B188SR5,UK,INPP,2017-10,SEDOL:B5BB891,International Public Partnerships
SEDOL:3351642,UK,VOF,2017-10,SEDOL:B6QM2B6,VinaCapital Vietnam Opportunity
SEDOL:3002810,UK,BMD,2017-11,SEDOL:B0P6FY1,Baronsmead Second Venture Trust
SEDOL:B2PP3J3,UK,CMPI,2017-11,SEDOL:B45M5X6,CT Global Managed Portfolio Income
SEDOL:506241,UK,NCYF,2017-11,SEDOL:B4V7FP7,CQS New City High Yield Fund
SEDOL:B2PP252,UK,CMPG,2017-11,SEDOL:B4VR3D1,CT Global Managed Portfolio Growth
SEDOL:3386257,UK,GOT,2017-11,SEDOL:B61K7Y3,Global Opportunities Trust
SEDOL:B4L0PD4,UK,FEML,2017-12,SEDOL:B54ST29,Fidelity Emerging Markets
SEDOL:BYV2ZQ3,UK,RGL,2017-12,SEDOL:B8FJ579,Regional REIT
SEDOL:3420207,UK,OOA,2018-01,SEDOL:3073184,Octopus AIM VCT
SEDOL:B1GXH75,UK,HFEL,2018-01,SEDOL:3073203,Henderson Far East Income
SEDOL:3436594,UK,MIGO,2018-01,SEDOL:B3B3WB3,MIGO Opportunities Trust
SEDOL:286714,UK,MVCT,2018-01,SEDOL:BCDP4K3,Molten Ventures VCT
SEDOL:B1G3LR3,UK,AAEV,2018-02,SEDOL:B1GDYS5,Albion Enterprise VCT
SEDOL:783884,UK,SMT,2018-03,SEDOL:B4MGR24,Scottish Mortgage Investment Trust
SEDOL:BD3QJR5,UK,FSFL,2018-03,SEDOL:B576CP4,Foresight Solar Fund
SEDOL:739207,UK,RIII,2018-03,SEDOL:BLWDVR7,Rights & Issues Investment Trust
SEDOL:589383,UK,MWY,2018-03,SEDOL:BY7QK53,Mid Wynd International
