ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
TCF,2026-03,as follows value date nav per unit,dollars,5.937,1,True,learn,03067850,,,,
KKC,2026-03,yield distribution frequency monthly asx unit price a,dollars,2.31,1,True,learn,03067335,,,,
FPC,2026-02,,,2.1916,0,False,learn,03066551,fund as at th amount pre tax nta,2.156,dollars,0.9837561598831903
LSF,2026-02,,,4.3304,0,False,learn,03066126,per ordinary share f f nta before tax,4.3422,dollars,1.0027249214853131
MXT,2026-02,is as follows value date nta per unit,dollars,2.0002,1,True,learn,03065751,,,,
PCI,2026-02,,,1.099,0,False,holdout,03065707,at close of business on nta per unit,1.105,dollars,1.005459508644222
MXT,2026-02,is as follows value date nta per unit,dollars,2.0002,1,True,learn,03064909,,,,
AMH,2026-02,,,1.11,0,False,learn,03063277,pre tax nta per share,1.08,dollars,0.9729729729729729
GC1,2026-02,as at are as follows nta nta,dollars,0.72,1,True,holdout,03062961,,,,
SEC,2026-02,,,2.524,0,False,holdout,03062466,pre tax nta s p asx small ordinaries accumulation index by,2.5,dollars,0.9904912836767036
SEC,2026-02,,,2.524,0,False,holdout,03061859,at estimated nta per share pre tax nta,2.467,dollars,0.9774167987321711
ALI,2026-02,,,2.75,0,False,learn,03060972,unaudited and approximate pre tax nta per share,2.7,dollars,0.9818181818181819
MXT,2026-02,is as follows value date nta per unit,dollars,2.0002,1,True,learn,03060695,,,,
RG1,2026-02,,,2.64,0,False,learn,03060475,share for regal partners global investments limited was,2.6,dollars,0.9848484848484849
FGG,2026-02,,,1.6822,0,False,holdout,03060276,increased fully franked full year dividend of,1.6931,cents,1.0064796100344788
WMA,2026-02,,,1.1805,0,False,learn,03059971,asx wma unique opportunities beyond traditional assets,1.183,cents,1.0021177467174927
IBC,2026-02,,,0.594,0,False,learn,03059730,comparative purposes nta per ordinary share month end,0.31,cents,0.521885521885522
GCI,2026-02,,,2.0089,0,False,learn,03059663,on nta per unit as at,2.0133,dollars,1.0021902533724925
NAC,2026-02,fy fy fy fy fy fy fy fy,dollars,0.65,1,True,holdout,03059483,,,,
PCI,2026-02,,,1.099,0,False,holdout,03059152,at close of business on nta per unit,1.103,dollars,1.0036396724294814
WQG,2026-02,,,2.013,0,False,learn,03058715,nta after tax on unrealised gains dividend a,2.023,dollars,1.0049677098857428
PE1,2026-02,,,1.6436,0,False,learn,03059036,net asset value,1.5619999999999998,cents,0.9503528839133608
PIC,2026-02,,,1.277,0,False,learn,03058757,nta before tax,1.267,dollars,0.9921691464369616
WHI,2026-02,investment returns per share prior month nta,dollars,1.31,1,True,learn,03058491,,,,
LSF,2026-02,,,4.3304,0,False,learn,03058485,per ordinary share f f nta before tax,4.2018,dollars,0.9703029743210789
REV,2026-02,please contact revolution private credit income trust on,dollars,2.0,2,True,learn,03058299,,,,
REV,2026-02,is as follows value date nta per unit,dollars,2.0,2,True,learn,03058299,,,,
CDM,2026-02,,,1.049,0,False,learn,03058182,the all ordinaries index for cdm has paid,1.427,dollars,1.3603431839847475
OPH,2026-02,,,3.2235,0,False,learn,03058116,is as follows value date nav per unit,3.1272,dollars,0.9701256398324802
AFI,2026-02,,,8.1,0,False,learn,03058098,pre tax nta per share,7.76,dollars,0.9580246913580247
HM1,2026-02,,,3.33,0,False,learn,03058024,nta post current tax nta post tax nta,3.31,dollars,0.993993993993994
SEC,2026-02,,,2.524,0,False,holdout,03057850,at estimated nta per share pre tax nta,2.562,dollars,1.015055467511886
MXT,2026-02,is as follows value date nta per unit,dollars,2.0002,1,True,learn,03057728,,,,
PIC,2026-02,,,1.277,0,False,learn,03057251,nta before tax,1.288,dollars,1.0086139389193423
MOT,2026-02,is as follows value date nta per unit,dollars,2.1579,1,True,learn,03056767,,,,
PCI,2026-02,at close of business on nta per unit,dollars,1.099,1,True,holdout,03056719,,,,
ECP,2026-02,,,1.185,0,False,learn,03056861,tax on on unrealised gains unrealised gains,1.306,cents,1.1021097046413502
MOT,2026-02,is as follows value date nta per unit,dollars,2.1579,1,True,learn,03056346,,,,
LSF,2026-02,,,4.3304,0,False,learn,03056513,per ordinary share f f nta before tax,4.3933,dollars,1.0145252170700165
HCF,2026-02,,,0.011,0,False,holdout,03056170,month month nta per share before deferred tax,0.01,dollars,0.9090909090909092
DJW,2026-01,,,3.33,0,False,learn,03055573,pre tax nta per share,3.32,dollars,0.996996996996997
OPH,2026-01,prior value date nav per unit month end,dollars,3.4007,1,True,learn,03055512,,,,
PL8,2026-01,,,1.171,0,False,learn,03055370,as at nta per share pre tax nta,1.165,dollars,0.9948761742100769
KKC,2026-01,,,2.3568,0,False,learn,03054963,net tangible assets,2.37,dollars,1.0056008146639512
GCI,2026-01,,,2.01,0,False,learn,03054887,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9950248756218907
PIC,2026-01,,,1.301,0,False,learn,03054196,nta before tax,1.318,dollars,1.0130668716372022
MOT,2026-01,is as follows value date nta per unit,dollars,2.168,1,True,learn,03054135,,,,
PCI,2026-01,,,1.099,0,False,holdout,03054093,at close of business on nta per unit,1.105,dollars,1.005459508644222
GLS,2026-01,,,1.76,0,False,learn,03053897,nta backings per ordinary share nta before tax,1.749,dollars,0.99375
PCI,2026-01,,,1.099,0,False,holdout,03052980,at close of business on nta per unit,1.104,dollars,1.0045495905368518
GCI,2026-01,on nta per unit as at,dollars,2.01,1,True,learn,03046683,,,,
