name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis
BM_cap_weight_universe|full,113,2017-02-28 00:00:00,2026-06-30 00:00:00,1.0506031464142516,0.07924531477998231,0.10480467195236805,0.783546858776798,1.095008946961915,-0.23043601416403325,0.34389292432203084,0.0873728042820241,-0.1600384540915694,0.6902654867256637,2.4044379424407696,0.016480184571051555,0.8759011420934322,1.4359464482004682,0.19313815292846123,113.0,BM_cap_weight_universe,full,gross_TR
BM_cap_weight_universe|net,113,2017-02-28 00:00:00,2026-06-30 00:00:00,1.0106229049434572,0.07699106885274021,0.10480784555964942,0.7634507846680629,1.0652508161218859,-0.23052027656573915,0.33398827209364423,0.08730480159889938,-0.1601055300295757,0.6902654867256637,2.3427699483190434,0.014377481500730257,0.8758873109679461,1.252219679571773,0.13650104700321203,113.0,BM_cap_weight_universe,full,net_TR
BM_cap_weight_universe|development,59,2017-02-28 00:00:00,2021-12-31 00:00:00,0.532723488364033,0.09074053603826737,0.11982986540801488,0.7888417956442942,1.0811156898969225,-0.23043601416403325,0.3937775801558291,0.0873728042820241,-0.1600384540915694,0.6949152542372882,1.7491429171350266,0.016715654867059136,0.8678254325363005,1.0838818271193809,0.12937594710571226,59.0,BM_cap_weight_universe,development,gross_TR
BM_cap_weight_universe|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.04953659492545048,0.024468933118740432,0.10784040915866672,0.2764157657418277,0.40670530721897075,-0.11482288893839654,0.21310152831869805,0.06250720410114158,-0.07641534513651024,0.5416666666666666,0.390910924765837,0.009680722951960888,0.995862042185037,0.44987147561736734,0.3229406945936344,24.0,BM_cap_weight_universe,validation,gross_TR
BM_cap_weight_universe|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.27473591073577386,0.10196572899179501,0.06510106628823882,1.529415026323387,2.3136480692534622,-0.062466321236181344,1.6323312622536041,0.04116675155442101,-0.062466321236181316,0.8,2.4182174854341407,0.034006162712445664,0.7303532129450071,1.3158712847080367,0.2305042855244574,30.0,BM_cap_weight_universe,holdout,gross_TR
A_absolute_discount_decile_SKIP1M,112,2017-02-28 00:00:00,2026-05-31 00:00:00,1.6864409172998425,0.11168893102874589,0.18244297717852875,0.6702562876614189,1.328182066108224,-0.23702039723982338,0.4712207570715365,0.19160100375,-0.10638608199999999,0.5089285714285714,2.047666782152365,0.03314915754705501,1.1921184766022357,0.8123927668880015,0.3836300018724891,112.0,A_absolute_discount_decile_SKIP1M,full,gross_TR_skip1m
B_absolute_discount_quintile_SKIP1M,112,2017-02-28 00:00:00,2026-05-31 00:00:00,1.7039128802111758,0.11246135062482088,0.15529195853666278,0.7662647571809488,1.2892383589901624,-0.2618747288378024,0.4294471296406618,0.15530103789473687,-0.1806961485714286,0.5982142857142857,2.340977501439103,0.026806351310031118,1.2329639887161732,1.2063715153306755,0.6186257692084204,112.0,B_absolute_discount_quintile_SKIP1M,full,gross_TR_skip1m
C_discount_zscore_SKIP1M,89,2019-01-31 00:00:00,2026-05-31 00:00:00,1.5308256941238678,0.1333718877835699,0.16095562473867384,0.8600867309561256,1.6180585627731865,-0.22396594928823277,0.5955007366406715,0.15942527375,-0.14156478374999998,0.5730337078651685,2.342322164082842,0.04322568627887296,1.0376202825031868,1.1810956218471322,0.48122143736360845,89.0,C_discount_zscore_SKIP1M,full,gross_TR_skip1m
D_sector_neutral_zscore_SKIP1M,89,2019-01-31 00:00:00,2026-05-31 00:00:00,1.4363093538532379,0.1275704834808511,0.14285037563182804,0.9155134078081549,1.5237350024833523,-0.2122766645779688,0.600963293513568,0.1000030437131783,-0.11597445540084388,0.5842696629213483,2.4932687244694227,0.04194555128198393,0.9681525746173824,1.4306548023854222,0.5021195975919781,89.0,D_sector_neutral_zscore_SKIP1M,full,gross_TR_skip1m
E_discount_overshoot_SKIP1M,89,2019-01-31 00:00:00,2026-05-31 00:00:00,1.6617526416664665,0.14110597966424976,0.18123743870361597,0.8218272653565388,1.4043600063376536,-0.25745236795825,0.5480857712954978,0.16621257714285712,-0.181990465,0.5617977528089888,2.2381280275679645,0.03506654114567891,1.2410814242675514,0.9671304282959577,0.5688894369123685,89.0,E_discount_overshoot_SKIP1M,full,gross_TR_skip1m
