ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
KKC,2025-08,,,2.4262,0,False,previous nta estimate,2.4412,dollars,1.0061825076250925,learn,02981457
HM1,2025-08,pre tax nta post current tax nta,dollars,3.89,1,True,,,,,learn,02981398
WMX,2025-08,,,1.5886,0,False,fully franked dividend frequency dividend payable on,1.58,dollars,0.9945864283016493,learn,02980407
TCF,2025-08,price unit nav commercial unit price unit nav,dollars,5.936,1,True,,,,,learn,02980381
MXT,2025-08,,,2.0005,0,False,is as follows value date nta per unit,2.0054,dollars,1.0024493876530867,learn,02980535
PIC,2025-08,,,1.352,0,False,nta before tax,1.302,dollars,0.9630177514792899,learn,02980493
BHD,2025-08,,,0.2628,0,False,in cents is cents nta before tax,0.2548,cents,0.9695585996955862,holdout,02980502
CDM,2025-08,,,0.814,0,False,moves the current portfolio can be purchased for,0.84,cents,1.031941031941032,learn,02980360
SEC,2025-08,,,2.664,0,False,spheria emerging companies limited level,2.64,cents,0.990990990990991,holdout,02980100
WAR,2025-08,,,1.3145,0,False,investment update asx war discounted asset opportunities,1.2622,cents,0.9602130087485736,holdout,02979868
LSF,2025-08,,,3.5263,0,False,were nta per ordinary share nta before tax,3.4349,dollars,0.9740804809573774,learn,02979704
PIC,2025-08,,,1.352,0,False,nta before tax,1.303,dollars,0.963757396449704,learn,02979547
KAT,2025-08,,,1.629,0,False,after tax nta backing per share before tax,1.521,dollars,0.9337016574585635,learn,02979511
CIN,2025-08,,,46.1,0,False,,,,,learn,02979035
WMI,2025-08,,,1.5095,0,False,assets investment portfolio performance month end share price m,1.53,dollars,1.0135806558463067,learn,02979373
AIQ,2025-08,,,1.8037,0,False,at as at nta per unit,1.8245,dollars,1.0115318511947662,learn,02978981
PCI,2025-08,at close of business on nta per unit,dollars,1.096,1,True,,,,,holdout,02978995
ARG,2025-08,,,10.81,0,False,approximate a ugust pre tax nta per share,10.66,dollars,0.9861239592969472,learn,02979021
VG1,2025-08,,,2.05,0,False,share for vgi partners global investments limited was,2.09,dollars,1.0195121951219512,learn,02978838
