period,horizon_months,feature,value,is_silent,n,resolved,rate,base_rate,lift,z_vs_rest,universe
holdout_2022+,12,manager_status,under_review,False,5,5,1.0,0.6840148698884758,1.4619565217391304,1.5341214070066622,documented
holdout_2022+,12,fee_direction,cut,False,83,65,0.7831325301204819,0.6840148698884758,1.1449057097957045,2.3358430659739406,documented
holdout_2022+,12,fee_direction,increase,False,6,6,1.0,0.6840148698884758,1.4619565217391304,1.683737723864407,documented
holdout_2022+,12,fee_direction,none,True,180,113,0.6277777777777778,0.6840148698884758,0.9177838164251207,-2.821461646727467,documented
holdout_2022+,12,nav_marking,board_marked,False,119,92,0.773109243697479,0.6840148698884758,1.1302521008403361,2.7995496660194266,documented
holdout_2022+,12,nav_marking,independent_valuation,False,98,68,0.6938775510204082,0.6840148698884758,1.014418811002662,0.2634025776063288,documented
holdout_2022+,12,nav_marking,not_stated,True,52,24,0.46153846153846156,0.6840148698884758,0.6747491638795987,-3.8420747954095384,documented
holdout_2022+,12,going_concern_language,emphasis_of_matter,False,4,4,1.0,0.6840148698884758,1.4619565217391304,1.3695684727229305,documented
holdout_2022+,12,going_concern_language,material_uncertainty,False,29,21,0.7241379310344828,0.6840148698884758,1.0586581709145428,0.4920366844531358,documented
holdout_2022+,12,going_concern_language,none,True,236,159,0.673728813559322,0.6840148698884758,0.9849622328666175,-0.9704160603828866,documented
holdout_2022+,12,distribution_stance,cut,False,21,18,0.8571428571428571,0.6840148698884758,1.2531055900621118,1.7773016032285385,documented
holdout_2022+,12,distribution_stance,increased,False,22,13,0.5909090909090909,0.6840148698884758,0.8638833992094862,-0.9802786577538963,documented
holdout_2022+,12,distribution_stance,maintained,False,140,111,0.7928571428571428,0.6840148698884758,1.1591226708074533,4.000154917600764,documented
holdout_2022+,12,distribution_stance,none,True,73,29,0.3972602739726027,0.6840148698884758,0.5807772483621203,-6.173818065621596,documented
holdout_2022+,12,distribution_stance,suspended,False,13,13,1.0,0.6840148698884758,1.4619565217391304,2.5120506100918916,documented
holdout_2022+,18,discount_stance,acknowledged,False,74,74,1.0,0.8736059479553904,1.1446808510638298,3.843087047911966,documented
holdout_2022+,18,discount_stance,action_promised,False,28,26,0.9285714285714286,0.8736059479553904,1.062917933130699,0.9247312931280578,documented
holdout_2022+,18,discount_stance,action_taken,False,94,71,0.7553191489361702,0.8736059479553904,0.864599366229063,-4.278940152267481,documented
holdout_2022+,18,discount_stance,not_mentioned,True,73,64,0.8767123287671232,0.8736059479553904,1.0035558146313028,0.09357139832978383,documented
holdout_2022+,18,buyback_commitment,active_programme,False,111,99,0.8918918918918919,0.8736059479553904,1.0209315698677401,0.756493777623768,documented
holdout_2022+,18,buyback_commitment,authority_only,False,76,74,0.9736842105263158,0.8736059479553904,1.1145576707726763,3.0997233089702183,documented
holdout_2022+,18,buyback_commitment,none,True,72,62,0.8611111111111112,0.8736059479553904,0.9856973995271868,-0.37283678556991906,documented
holdout_2022+,18,buyback_commitment,specific_target,False,10,0,0.0,0.8736059479553904,0.0,-8.47267856586096,documented
holdout_2022+,18,continuation_vote,contingent_trigger,False,10,10,1.0,0.8736059479553904,1.1446808510638298,1.2258343456990322,documented
holdout_2022+,18,continuation_vote,failed,False,1,0,0.0,0.8736059479553904,0.0,-2.633923854764095,documented
holdout_2022+,18,continuation_vote,none,True,176,165,0.9375,0.8736059479553904,1.0731382978723403,4.338407289582263,documented
holdout_2022+,18,continuation_vote,passed,False,24,18,0.75,0.8736059479553904,0.8585106382978723,-1.9094881988315209,documented
holdout_2022+,18,continuation_vote,scheduled,False,58,42,0.7241379310344828,0.8736059479553904,0.8289068231841525,-3.8679074332489236,documented
holdout_2022+,18,winddown_path,in_progress,False,16,16,1.0,0.8736059479553904,1.1446808510638298,1.568849913567038,documented
holdout_2022+,18,winddown_path,none,True,175,150,0.8571428571428571,0.8736059479553904,0.9811550151975683,-1.1087190297583762,documented
holdout_2022+,18,winddown_path,proposal_announced,False,62,54,0.8709677419354839,0.8736059479553904,0.9969800960878518,-0.07126469148442953,documented
holdout_2022+,18,winddown_path,shareholder_approved,False,5,4,0.8,0.8736059479553904,0.9157446808510639,-0.4999780971422921,documented
holdout_2022+,18,winddown_path,strategic_review,False,11,11,1.0,0.8736059479553904,1.1446808510638298,1.288155099083212,documented
holdout_2022+,18,activist_presence,named_holder,False,13,13,1.0,0.8736059479553904,1.1446808510638298,1.405831793606509,documented
holdout_2022+,18,activist_presence,none,True,253,219,0.8656126482213439,0.8736059479553904,0.9908502228576234,-1.568849913567038,documented
holdout_2022+,18,activist_presence,requisition,False,3,3,1.0,0.8736059479553904,1.1446808510638298,0.6625237882195683,documented
holdout_2022+,18,manager_status,change_announced,False,14,7,0.5,0.8736059479553904,0.5723404255319149,-4.320785827158738,documented
