AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Europe,Charter European,Ordinary Share,31/01/2007,3148639,69010033,6306845,6306845,6306845,6306845,0,0,0,6306845,206.75,916146,,,27801688,0,217000,1485000,Yes,-2,110,,,Y,62703188,225.54,,,,224.58,228.83,,,,227.71,225.54,,,,224.58,228.83,,,,227.71,2.27,-2,17,22,16,8,20,19,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/A,0,0,0,0,0,0,0,,,,,,,,,,,,,Rollover,"10/1/07 25,000 buy back for value 52,668.53; 24/1/07 72,000 buy back for value 147,247.90; 31/1/07 120,000 buy back for value 245,218.46"
Europe,Foreign & Colonial Eurotrust,Ordinary Share,31/01/2007,329501,476686630,36512099,36512099,36512099,36512099,0,0,0,36512099,741.5,-240934,,,54663701,0,586277,0,N/A,0,108,,,Y,440174531,805.24,,,,,804.8,,,,,805.24,,,,,804.8,,,,,0,0,0,18,14,4,13,51,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair value is par value revalued for the exchange rate at the month end.,
Europe,Fidelity European Values,Ordinary Share,31/01/2007,337582,913906400,102728743,101434052,102728743,101434052,0,0,0,102728743,1235,-982601,,,62143051,0,302601,0,N/A,0,113,0,,N,811177657,1305.34,,,,,1303.76,,,,,1307.42,,,,,1305.84,,,,,0,0,1,17,16,10,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value has been calculated by discounting future cash flows to current Euro interest rates.,"During the month 302,601 shares were repurchased by the company for cancellation at an average cost of 1,215.43p per share, for a total consideration of ú3,677,923.81"
Europe,Gartmore European,Ordinary Share,31/01/2007,526885,390345480,43815100,43815100,43815100,43815100,0,0,0,43815100,577.5,219173,,,57678389,0,93000,1762000,Yes,2,113,,,Y,346530380,600.8,,,,600.11,601.18,,,,600.48,600.8,,,,600.11,601.18,,,,600.48,2.3,2,0,20,19,12,21,26,0,0,0,0,0,0,0,0,0,0,0,8,92,0,20,19,12,21,28,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"Shares cancelled to be held in treasury
05/01/07 20,000 shares at a total cost of ú0.1153
26/01/07 45,000 shares at a total cost of ú0.257625
30/01/07 28,000 shares at a total cost of ú0.16058"
Europe,Invesco Perpetual European Absolute,Ordinary Share,31/01/2007,323406,54719117,0,0,0,0,0,0,0,0,179.25,1317390,,,28825000,0,0,2900000,N/A,44,100,0,,Y,54719117,189.83,,,,188.86,194.4,,,,193.02,189.83,,,,188.86,194.4,,,,193.02,3.2,44,5,9,5,6,7,24,0,0,0,0,0,0,0,29,0,0,0,0,71,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Europe,JPMorgan European Growth,Ordinary Share,31/01/2007,B18JK16,436034418,73904423,77693954,73904423,77693954,0,0,0,73904423,224.25,0,,,150634718,0,517500,16673813,Yes,16,120,,,Y,362129995,240.4,,,,238.79,,,,,,237.89,,,,236.53,,,,,,2.63,16,0,16,14,5,10,39,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Debentures have been revalued using an estimated fair market spread over the ç
relevant gilt; Interest rate swaps and fixed rate loans have been revalued ç
using mark to market estimates provided by a counterparty or other relevant ç
source.",
Europe,JPMorgan European Income,Ordinary Share,31/01/2007,B17XWW4,90072818,15003354,15003354,15003354,15003354,0,0,0,15003354,109,0,,,64862083,0,111000,7208190,Yes,12,120,,,N,75069464,115.74,,,,115.06,,,,,,115.74,,,,115.06,,,,,,3.16,12,28,11,9,5,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Europe,Jupiter European Opportunities,Ordinary Share,31/01/2007,19772,197690260,36838178,36838178,36838178,36838178,0,0,0,36838178,192.25,-219805,,,80664723,0,0,0,N/A,-17,123,,,Y,160852082,199.41,,,,,199.14,,,,,199.41,,,,,199.14,,,,,1.94,-17,21,39,7,17,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,EURO'S CONVERTED AT EXCHANGE RATE AT MONTH END,
Europe,Merrill Lynch Greater Europe,Ordinary Share,31/01/2007,B01RDH7,246588334,28170019,28170019,28170019,28170019,0,0,0,28170019,168,138940,,,124729045,0,0,5509887,Yes,0,113,1.5,,Y,218418315,175.11,,,,174.81,175.23,,,,174.92,175.11,,,,174.81,175.23,,,,174.92,2.41,0,1,16,18,3,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,there is no difference between par and fair values. There is an overdraft which will rollover to next month,
Europe,SR Europe,Ordinary Share,31/01/2007,3066894,73466230,8612948,8612948,8612948,8612948,0,0,0,8612948,209.5,0,,,29694372,0,0,0,N/A,-1,113,,,Y,64853282,218.4,,,,,,,,,,218.4,,,,,,,,,,1.38,-1,27,8,23,13,7,23,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other , , , , , , , ,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other ,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Emerging Markets,Advance Developing Markets,Ordinary Share,31/01/2007,167499,294434136,0,0,0,0,0,0,0,0,341,0,,,78975034,0,0,0,N/A,5,100,0,,Y,294434136,372.82,,,,,,,,,,372.82,,,,,,,,,,0.6,5,19,44,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Emerging Markets,JPMorgan Emerging Markets,Ordinary Share,31/01/2007,341895,440435306,0,0,0,0,0,0,0,0,360.5,1531949,,,110303742,0,0,0,N/A,1,100,,,Y,440435306,399.29,,,,,400.68,,,,,399.29,,,,,400.68,,,,,1.6,1,26,37,3,13,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Emerging Markets,Templeton Emerging Markets,Ordinary Share,31/01/2007,882929,1791776377,0,0,0,0,0,0,0,0,305.75,17995455,,,535981593,0,0,0,N/A,2,100,,,N,1791776377,334.3,,,,,337.66,,,,,334.3,,,,,337.66,,,,,0,2,21,48,26,3,0,0,0,0,0,0,0,0,0,21,48,26,3,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Emerging Markets,Utilico Emerging Markets,Ordinary Share,31/01/2007,B0DQY35,250271000,24996000,24996000,24996000,24996000,0,0,0,24996000,128.25,-417669,,,164623573,0,0,0,N/A,1,111,3,,Y,225275000,136.84,130.71,,,,136.59,130.49,,,,136.84,130.71,,,,136.59,130.49,,,,2.81,1,30,48,12,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Growth,Advance UK,Ordinary Share,31/01/2007,167518,90854712,0,0,0,0,0,0,0,0,222,0,0,,38839660,0,650000,3075000,No,15,100,,,Y,90854712,233.92,,,,233.92,,,,,,233.92,,,,233.92,,,,,,1,15,58,12,12,1,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Alliance Trust,Ordinary Share,31/01/2007,B11V7W9,2801692066,0,0,0,0,0,0,0,0,365.5,33432202,,,671746820,0,0,0,N/A,7,100,4.67,,N,2801692066,417.08,,,,,422.05,,,,,417.08,,,,,422.05,,,,,0,7,52,13,12,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Anglo & Overseas,Ordinary Share,31/01/2007,B0BZVZ5,116059057,0,0,0,0,0,0,0,0,126.25,0,,,88900207,0,0,824174,No,3,100,,,,116059057,130.55,,,,130.55,,,,,,130.55,,,,130.55,,,,,,0,3,52,27,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Bankers,Ordinary Share,31/01/2007,76700,560313000,25000000,32670000,25000000,32670000,0,0,0,25000000,414,1354000,,,116365552,0,45111,0,N/A,0,105,0.3,,Y,535313000,460.03,,,,,461.19,,,,,453.44,,,,,454.6,,,,,2.43,0,54,17,12,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair values based on quoted price for each security,"12/01/07 Buy Back 45,111 @ 409p ú0.185m."
Global Growth,British Empire Securities & General,Ordinary Share,31/01/2007,133508,770870922,32472221,38449497,32472221,38449497,0,0,0,32472221,445,1739184,,,160080089,0,0,0,N/A,13,104,0.5,,Y,738398701,461.27,,,,,462.35,,,,,457.53,,,,,458.62,,,,,2.3,13,24,27,7,15,14,0,0,0,0,0,0,0,0,91,0,9,0,0,0,36,27,8,15,14,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Fair Values are calculated by using the Mid market price of the Debenture 10.375% stock, Debenture 8.125% stock and the Equities Index stock.",
Global Growth,Brunner,Ordinary Share,31/01/2007,149000,298710230,52842152,64828091,52842152,64828091,0,0,0,52842152,429,2903502,,,48319161,0,122677,0,N/A,10,121,,,N,245868078,508.84,,,,,514.85,,,,,484.04,,,,,490.05,,,,,2.67,10,51,13,16,5,4,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair values for the FDF and Fintrust loans are based on sedol prices.,"16/1/07 25,000 shs were repurchased @ 430p total cost of ú107,673, 24/1/07 97,677 shs were repurchased @ 422p a total cost of ú413,231"
Global Growth,Cayenne,Ordinary Share,31/01/2007,636911,60299750,0,0,0,0,0,10000000,10450000,10000000,118.25,467550,,,42475143,0,0,0,N/A,8,120,0,,N,50299750,118.42,,,,,119.52,,,,,117.36,,,,,118.46,,,,,1.4,8,45,22,10,4,7,4,0,0,0,0,0,0,0,100,0,0,0,0,0,53,22,10,4,7,4,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,EP Global Opportunities,Ordinary Share,31/01/2007,3386257,58284045,0,0,0,0,0,0,0,0,171,0,,,33998180,0,0,0,N/A,3,100,,,N,58284045,171.43,,,,,,,,,,171.43,,,,,,,,,,0,3,22,42,22,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/A,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Electric & General,Ordinary Share,31/01/2007,309019,296824782,7000000,8364090,7000000,8364090,0,0,0,7000000,406.75,2035441,,,65520296,0,0,0,N/A,8,102,,,Y,289824782,442.34,,,,,445.45,,,,,440.26,,,,,443.37,,,,,0,8,22,32,18,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair value is based on the offer price,
Global Growth,Establishment Investment Trust,Ordinary Share,31/01/2007,3133691,35510495,3462475,3462475,3462475,3462475,0,0,0,3462475,161,383049,,,20000000,0,0,0,N/A,13,111,7,,Y,32048020,160.24,,,,,162.16,,,,,160.24,,,,,162.16,,,,,3.6,13,22,9,1,11,32,12,0,0,0,0,0,0,0,89,64,-62,-22,30,1,34,17,-7,8,36,12,,0,0,0,0,0,0,0,,,,,,,,,,,,,The Loan Facility is valued at current liability value so there is no difference between par and fair value.,
Global Growth,Foreign & Colonial,Ordinary Share,31/01/2007,346607,2575779000,188914000,227685443,188914000,227685443,0,0,0,188914000,281,30527031,,,748436615,0,1540000,0,N/A,-1,108,5,,Y,2386865000,318.91,,,,,322.99,,,,,313.73,,,,,317.81,,,,,2.9,-1,44,16,21,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Fair values on debentures are calculated based on traded price, short term loans are calculated based on the exchange rates on the NAV date.","During the period 1,540,000 ordinary shares were repurchased at a cost of ú4.35million"
Global Growth,Gartmore Global,Ordinary Share,31/01/2007,318402,154787355,16399901,20114709,16399901,20114709,0,0,0,16399901,262.75,2173790,,,47033163,0,225000,0,N/A,8,112,1.7,,N,138387454,294.23,,,,,298.86,,,,,286.34,,,,,290.96,,,,,2.3,8,37,16,21,7,9,2,0,0,0,0,0,0,0,84,0,16,0,0,0,44,16,22,7,9,2,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair values are based on the mid-market prices as provided in the SEDOL at the month-end or the price at which the last trade was effected.,"05/01/07 30,000 shares at a cost of ú0.0777m
12/01/07 20,000 shares at a cost of ú0.0516m
18/01/07 65,000 shares at a cost of ú0.16835m
24/01/07 20,000 shares at a cost of ú0.052m
31/01/07 90,000 shares at a cost of ú0.23535m"
Global Growth,Invesco Perpetual Select Global Equity,Ordinary Share,31/01/2007,B1DQ647,39063795,0,0,0,0,0,0,0,0,99.5,0,,,37595658,0,0,0,N/A,-1,100,0,,Y,39063795,103.91,,,,,,,,,,103.91,,,,,,,,,,2.2,-1,30,21,19,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,FV of overdraft considered not to be materially different to PAR,
Global Growth,Independent Investment Trust,Ordinary Share,31/01/2007,81168,230002212,38181705,38181705,38181705,38181705,0,0,0,38181705,311.5,0,,,66128895,0,0,0,N/A,2,120,,,N,191820507,290.07,,,,,,,,,,290.07,,,,,,,,,,2.4,2,71,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread.",
Global Growth,JPMorgan Elect Managed Growth,Ordinary Share,31/01/2007,852814,203085531,0,0,0,0,0,0,0,0,395,796105,,,50540432,0,45000,0,N/A,0,100,,,N,203085531,401.83,,,,,403.4,,,,,401.83,,,,,403.4,,,,,0.98,0,56,14,12,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Jupiter Primadona Growth,Ordinary Share,31/01/2007,703376,56871242,7500000,7500000,7500000,7500000,0,0,0,7500000,1033,119091,,,4644908,0,0,0,No,-15,115,,,Y,49371242,1062.91,,,,,1065.47,,,,,1062.91,,,,,1065.47,,,,,1.91,-15,76,14,5,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Law Debenture Corporation,Ordinary Share,31/01/2007,3142921,420770000,39257000,39257000,39257000,39257000,0,0,0,39257000,353,10112000,,,117112656,0,0,0,N/A,13,110,,,N,381513000,325.77,,,,,334.4,,,,,325.77,,,,,334.4,,,,,3.2,13,64,12,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Directors valuation,
Global Growth,London & St Lawrence,Ordinary Share,31/01/2007,531005,91615313,280000,280000,280000,280000,0,0,0,280000,282.5,0,,,29580694,0,0,0,N/A,28,100,0,,N,91335313,308.77,,,,,,,,,,308.77,,,,,,,,,,4.75,28,71,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Growth,Martin Currie Portfolio,Ordinary Share,31/01/2007,537241,192919993,9927966,9930974,9927966,9930974,0,0,0,9927966,117.25,3187521,,,143527886,0,1227156,0,N/A,-1,105,,,Y,182992027,127.5,,,,,129.72,,,,,127.49,,,,,129.71,,,,,0,-1,78,6,12,2,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Net present value of future cashflows,"1,227,156 shares were bought back during the month:  168,156 on 03-01-07 for ú199,664.39, 33,000 on 12-01-07 for ú38,853.55, 175,000 on 22-01-07 for ú205,160.50 and 851,000 shares on 31-01-07 for ú989,228.27"
Global Growth,Monks,Ordinary Share,31/01/2007,3051726,1061632922,150111092,163669657,150111092,163669657,0,0,0,150111092,281.25,0,,,284060295,0,1660000,0,N/A,12,116,0,,N,911521830,320.89,,,,,,,,,,316.12,,,,,,,,,,2.3,12,17,12,27,12,11,9,0,0,0,0,0,0,0,129,-21,-42,33,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Debentures at fair value is calculated using closing mid market price from the London Stock Exchange.,"19th January 2007, 900,000 shares were bought back at a price of 274.21, ú2,470,323
26th January 2007, 760,000 shares were bought back at a price of 280.64p, ú2,134,973"
Global Growth,Personal Assets,Ordinary Share,31/01/2007,682754,191746986,0,0,0,0,0,0,0,0,26125,0,,,733880,0,1744,17031,No,48,100,,,N,191746986,26127.84,,,,26127.84,,,,,,26127.84,,,,26127.84,,,,,,0,48,50,0,2,0,0,0,0,0,0,0,0,0,0,68,0,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"4 JANUARY 2007 NOUGHT BACK FOR TREASURY 1,000 ORD ú12.50 SHARES AT ú261.50 PER SHARE
5 JANUARY 2007 BOUGHT BACK FOR TREASURY 250 ORD ú12.50 SHARES AT ú261.50 PER SHARE
24 JANUARY 2007 BOUGHT BACK FOR TREASURY 344 ORD ú12.50 SHARES AT ú260.50 PER SHARE
26 JANUARY 2007 BOUGHT BACK FOR TREASURY 150 ORD ú12.50 SHARES AT ú259.21"
Global Growth,RIT Capital Partners,Ordinary Share,31/01/2007,736639,1760990908,176210718,175271179,176210718,175271179,0,0,0,176210718,961.5,-39640000,,,156178167,0,0,0,N/A,7,111,,,Y,1584780190,1014.73,,,,,989.34,,,,,1015.33,,,,,989.95,,,,,0.4,7,12,20,41,5,8,7,0,0,0,0,0,0,0,36,-4,46,22,0,0,63,18,8,5,5,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value of the loans is based on the net present value of their future cash flows.,
Global Growth,Scottish Investment Trust,Ordinary Share,31/01/2007,782609,850911724,107281886,115582073,107281886,115582073,0,0,0,107281886,466,1988237,,,142673615,0,269000,0,N/A,9,114,2,,N,743629838,521.21,,,,,522.6,,,,,515.39,,,,,516.79,,,,,2.3,9,37,18,21,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,24,3,15,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,Borrowings are quoted and valued at market.,"Shares bought back during the period amounted to 269,000 @ cost of ú1.3m"
Global Growth,Scottish Mortgage,Ordinary Share,31/01/2007,783884,2007204907,266701500,332825085,266701500,332825085,0,0,0,266701500,528.5,0,0,,282686176,0,300000,1660000,No,5,115,0,,N,1740503407,615.7,,,,615.7,,,,,,592.31,,,,592.31,,,,,,2.3,5,35,12,25,3,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Debentures - fair value is calculated using closing mid market price from the London Stock Exchange.

Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread.","31 January 2007, 300,000 shares bought back at a price of 529p, ú1,589,713"
Global Growth,Witan,Ordinary Share,31/01/2007,974406,1478089315,146834570,166068022,146834570,166068022,0,0,0,146834570,456.75,18391048,,,259965887,0,807000,0,N/A,5,111,,,Y,1331254745,512.09,,,,,519.16,,,,,504.69,,,,,511.76,,,,,0,5,44,15,21,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair values based on bid market prices as at month-end.,"In the month Witan bought back 807,000 shares for ú3.7m."
Global Growth,World Trust Fund,Ordinary Share,31/01/2007,981536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Growth,iimia Investment Trust,Ordinary Share,31/01/2007,3436594,50648411,3750000,3750000,3750000,3750000,0,0,0,3750000,147.75,30553,,,30878945,0,265000,365000,No,5,108,,,Y,46898411,151.88,,,,151.88,151.98,,,,151.98,151.88,,,,151.88,151.98,,,,151.98,1.03,5,27,14,17,19,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Growth & Income,British Assets,Ordinary Share,31/01/2007,129756,599627837,119246499,129072000,119246499,129072000,0,0,0,119246499,146.25,5577902,,,308512282,0,0,0,N/A,10,125,,,Y,480381338,155.71,,,,,157.52,,,,,152.52,,,,,154.33,,,,,3,10,66,6,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Based on the quoted market prices of the Bonds.,
