FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
Foreign & Colonial,346607,Perpetual debenture stock,D,N,4.25,,50,GBP,,575000,575000,575000,494443,575000,,F
Foreign & Colonial,346607,Loan,L,N,,,,USD,,50000000,25369000,0,0,25547000,,T
Foreign & Colonial,346607,Loan,L,N,,,,JPY,,6000000000,26059000,0,0,25729000,,T
Foreign & Colonial,346607,Loan,L,N,,,,JPY,,3900000000,16938000,0,0,16724000,,T
Foreign & Colonial,346607,Loan,L,N,,,,JPY,,6500000000,27556000,27453000,27453000,27445000,,F
Foreign & Colonial,346607,Loan,L,N,,,,JPY,,6000000000,25436000,25342000,25342000,25334000,,F
Foreign & Colonial,346607,Loan,L,N,,,,USD,,50000000,25608850,25544000,25544000,25544000,,F
Foreign & Colonial Eurotrust,329501,Unsecured loan,L,N,3.96,,,EUR,24/05/2006,29000000,0,19251834,19251834,19905278,,F
Foreign & Colonial Eurotrust,329501,Unsecured loan,L,N,4.06,,,EUR,24/05/2006,2600000,0,17260265,17260265,19905278,,F
Foreign & Colonial Eurotrust,329501,Unsecured loan,L,N,4.12,,,EUR,20/12/2006,15000000,0,0,0,0,,T
Framlington Income & Capital,633354,12.6% Debenture 2008,D,N,12.6,Y,60,GBP,,0,2802029,2802029,3084950,2802029,,F
Framlington Income & Capital,633354,Bank Loan,L,N,8.455,Y,60,GBP,,0,20000000,20000000,20614852,20000000,,F
Framlington Income & Capital,633354,Bank Loan,L,N,7.765,Y,60,GBP,,0,10000000,10000000,10172068,10000000,,F
Framlington Innovative Growth,890632,Fixed Term Bank Loan,L,N,6.05,Y,50,GBP,08/03/2005,0,8000000,8000000,8000000,8000000,,F
Gartmore European,526885,Bank Loan,L,N,4.2,,75,EUR,22/12/2006,56000000,37730510,0,0,37730510,Rollover,T
Gartmore European,526885,Bank Loan,L,N,4.25,,75,EUR,28/12/2006,3500000,2358157,0,0,2358157,Rollover,T
Gartmore European,526885,Bank Loan,L,N,4.125,,75,EUR,26/01/2007,66000000,43815100,43815100,43815100,43815100,Rollover,F
Gartmore Global,318402,8.25% Debenture Stock 2023,D,N,8.25,,0,GBP,31/08/1993,26312000,26312000,15399901,19457929,14883853,,F
Gartmore Global,318402,3.75% Cumulative Preference Stock,P,N,3.75,,0,GBP,,1000000,1000000,1000000,656780,1000000,,F
Gartmore Growth Opportunities,B07BP66,Equity-Linked Unsecured Loan Stock 2009,L,I,0,,0,GBP,,33851000,33851000,4245539,3180146,0,,F
Gartmore Growth Opportunities,B07BP66,Management Unit Share Capital,O,N,,,,GBP,,0,0,12500,12500,0,1,F
Gartmore Growth Opportunities,B07BP66,Bank Loan,L,N,5.851,,,GBP,31/01/2007,250000,250000,250000,250000,250000,,F
Gartmore Growth Opportunities,B07BP66,Bank Loan,L,N,5.861,,,GBP,31/01/2007,2700000,2700000,2700000,2700000,2700000,,F
Gartmore Smaller Companies,532309,Loan,L,N,6.175,,85,GBP,27/12/2006,1950000,1950000,0,0,1950000,,T
Gartmore Smaller Companies,532309,Loan,L,N,6.238,,85,GBP,29/01/2007,700000,700000,700000,700000,700000,,F
Gartmore Smaller Companies,532309,Loan,L,N,6.245,,85,GBP,30/01/2007,500000,500000,500000,500000,500000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,15/01/2004,4107600,4107600,4850100,4850100,5400000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,11/01/2005,11514000,11514000,12737600,12737600,15200000,,F
