AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
UK Equity Income,Dunedin Income Growth,Ordinary Share,30/06/2014,GB0003406096,469914561,39484494,46222654,39484494,46222654,0,0,0,0,0,39484494,273,,11189364,,,151006187,0,0,2671748,No,1.57,9,7,,0,30,,,N,100,430430067,419240703,277.63,,,,277.63,285.04,,,,285.04,273.17,,,,273.17,280.58,,,,280.58,4.62,1.57,0,79.31,19.12,0,0,0,0,1.57,0,67.79,11.52,0,0,0,19.12,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,458725197,,,,GBP
UK Equity Income,Edinburgh Investment,Ordinary Share,30/06/2014,GB0003052338,1444407212,197924645,227791700,197924645,227791700,0,0,0,0,0,197924645,605,,10984070,,,195116734,0,0,0,No,-0.98,16,17,,0,16,,,N,100,1246482567,1235498497,633.21,,,,,638.84,,,,,617.9,,,,,623.53,,,,,3.48,-0.98,0,86.01,7.8,7.17,0,0,0,-0.98,0,58.33,21.09,5.48,0,1.11,14.97,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1433423142,,"The fair value of the debenture stocks is determined by the daily Bloomberg closing price, subject to review against other providers for consistency.",,GBP
UK Equity Income,F&C Capital & Income,Ordinary Share,30/06/2014,GB0003463287,254138000,20000000,20000000,20000000,20000000,0,0,0,0,0,20000000,259,,3146000,,,91409268,0,0,0,No,2.24,9,6,,,,Y,,N,100,234138000,230992000,252.7,,,,,256.14,,,,,252.7,,,,,256.14,,,,,4,2.24,0.8,91.68,5.28,0,0,0,0,2.24,0.8,57.58,19.52,9.27,0,5.31,5.28,95,5,0,0,0,0,95,5,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,250992000,,,,GBP
UK Equity Income,Finsbury Growth & Income,Ordinary Share,30/06/2014,GB0007816068,510421784,23100000,23100000,23100000,23100000,0,0,0,0,0,23100000,515,,2651504,,,95335212,1265000,0,0,Yes,0.39,5,4,,5,25,,,N,100,487321784,484670280,508.39,,,,,511.17,,,,,508.39,,,,,511.17,,,,,2.63,0.39,0.03,85.3,6.33,7.95,0,0,0,0.39,0.03,56.21,25.01,3.23,0,0.85,14.28,100,0,0,0,0,0,86,6,8,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,507770280,,,,GBP
UK Equity Income,Invesco Income Growth,Ordinary Share,30/06/2014,GB0003585725,184567402,12647093,12647093,12647093,12647093,0,0,0,0,0,12647093,276.75,,2251039,,,58551530,0,0,0,No,-0.99,7,8,,0,25,,,N,100,171920309,169669270,289.78,,,,,293.62,,,,,289.78,,,,,293.62,,,,,3.78,-0.99,1.7,99.29,0,0,0,0,0,-0.99,1.7,71.24,23.09,4.96,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,182316363,,,,GBP
UK Equity Income,Investment Company,Ordinary Share,30/06/2014,GB0004658257,19045712,365700,365700,365700,365700,0,0,0,0,0,365700,406,,-167372,,,4739549,0,0,32500,No,8.19,2,0,6,,,Y,,N,100,18680012,18847384,397.66,,,,397.66,394.13,,,,394.13,397.66,,,,397.66,394.13,,,,394.13,4.04,8.19,21.18,70.63,0,0,0,0,0,8.19,21.18,5.23,8.14,57.26,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,*/A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,19213084,,,,GBP
UK Equity Income,JPMorgan Claverhouse,Ordinary Share,30/06/2014,GB0003422184,422884349,78984656,78984656,78984656,78984656,0,0,0,0,0,78984656,587.25,,4154951,,,54723979,0,0,2041674,No,1,23,22,,0,20,,,N,100,343899693,339744742,620.83,,,,620.83,628.43,,,,628.43,620.83,,,,620.83,628.43,,,,628.43,3.43,1,0,99,0,0,0,0,0,1,0,77,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,418729398,,The debenture has been fair valued using discounted cash flow techniques.,,GBP
UK Equity Income,JPMorgan Elect Managed Income,Ordinary Share,30/06/2014,GB0034080217,52466446,0,0,0,0,0,0,0,0,0,0,99,,262784,,,51572434,444842,81634,795363,No,1,0,0,1,,,Y,,N,100,52466446,52203662,101.22,,,,101.22,101.73,,,,101.73,101.22,,,,101.22,101.73,,,,101.73,4.16,1,5,94,0,0,0,0,0,1,5,67,18,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,52203662,,,,GBP
UK Equity Income,Lowland,Ordinary Share,30/06/2014,GB0005368062,419764000,44282459,44282459,44282459,44282459,0,0,0,0,0,44282459,1425.5,,5320000,,,26892427,0,0,0,No,0.18,12,12,,0,30,,,N,100,375481541,370161541,1376.45,,,,,1396.24,,,,,1376.45,,,,,1396.24,,,,,2.92,0.18,0.03,91.07,5.65,3.07,0,0,0,0.18,0.03,32.54,29.6,37.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,414444000,,,,GBP
UK Equity Income,Merchants,Ordinary Share,30/06/2014,GB0005800072,662126855,112997651,138191185,112997651,138191185,0,0,0,0,0,112997651,505,,13219424,,,104963464,0,0,0,N/A,2.1,21,18,,,,Y,,N,100,549129204,535909780,510.57,,,,,523.16,,,,,486.57,,,,,499.16,,,,,4.37,2.1,0,97.9,0,0,0,0,0,2.1,0,65.6,29.6,2.07,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,648907431,,,,GBP
UK Equity Income,Murray Income,Ordinary Share,30/06/2014,GB0006111123,588005704,45000000,45000000,45000000,45000000,0,0,0,0,0,45000000,779,,6572526,,,68017458,0,0,451000,No,1.64,8,7,,0,25,,,N,100,543005704,536433178,788.67,,,,788.67,798.33,,,,798.33,788.67,,,,788.67,798.33,,,,798.33,4.21,1.64,0,81.25,16.1,1.01,0,0,0,1.64,0,68.78,9.32,0,0,3.15,17.11,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,581433178,,,,GBP
UK Equity Income,Perpetual Income & Growth,Ordinary Share,30/06/2014,GB0006798424,1021173520,125585651,127107464,125585651,127107464,0,0,0,0,0,125585651,382,,6855918,,,233816175,0,0,0,No,-0.18,14,14,,0,25,,,N,100,895587869,888731951,380.1,,,,,383.03,,,,,379.45,,,,,382.38,,,,,3.11,-0.18,0,89.18,6.12,4.88,0,0,0,-0.18,0,50.1,26.94,7.74,0,4.4,11,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1014317602,,,,GBP
UK Equity Income,Schroder Income Growth,Ordinary Share,30/06/2014,GB0007915860,199787615,15000000,15000000,15000000,15000000,0,0,0,0,0,15000000,264.5,,2763760,,,68688343,0,0,0,N/A,2,8,6,,,,Y,,N,100,184787615,182023855,265,,,,,269.02,,,,,265,,,,,269.02,,,,,3.9,2,0,90,8,0,0,0,0,2,0,68,12,1,0,0,17,100,0,0,0,0,0,92,8,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,197023855,,,,GBP
UK Equity Income,Shires Income,Ordinary Share,30/06/2014,GB0008052507,94960636,18550000,18550000,18550000,18550000,0,0,0,0,0,18550000,256.5,,2074130,,,29997580,0,0,0,N/A,4.81,24,18,,,,Y,,N,100,76410636,74336506,247.81,,,,,254.72,,,,,247.81,,,,,254.72,,,,,4.53,4.81,26.03,69.16,0,0,0,0,0,4.81,26.03,52.45,7.67,2.2,0,6.84,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,92886506,,,,GBP
UK Equity Income,Standard Life Equity Income,Ordinary Share,30/06/2014,GB0006039597,192549121,23000000,23000000,23000000,23000000,0,0,0,0,0,23000000,407,,2236099,,,40357488,657328,0,0,No,2.43,14,11,,0,15,,,N,100,169549121,167313022,414.58,400.66,,,,420.12,405.38,,,,414.58,400.66,,,,420.12,405.38,,,,4,2.43,0,96.88,0,0,0,0,0.69,2.43,0,35.88,46.66,4.73,9.61,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,190313022,,,"12/06/14 - Transfer of shares from treasury (proceeds £419,159).
16/06/14 - Transfer of shares from treasury (proceeds £206,490.19).
20/06/14 - Transfer of shares from treasury (proceeds £2,070,820.58).",GBP
UK Equity Income,Temple Bar,Ordinary Share,30/06/2014,GB0008825324,910480379,113000000,119472368,113000000,119472368,0,0,0,0,0,113000000,1243,,13345118,,,64741873,910000,0,0,N/A,14,14,0,2,0,30,,,N,100,797480379,784135261,1211.17,,,,,1231.78,,,,,1201.17,,,,,1221.79,,,,,3.44,14,2,77,2,5,0,0,0,14,2,56,19,2,0,4,3,100,0,0,0,0,0,93,2,5,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,897135261,,Fair values are based on the latest mid market value of the debenture debt - Source: Interactive Data,"910,000 shares issued on 06 June at £12.45 per share.",GBP
UK Equity Income,Troy Income & Growth,Ordinary Share,30/06/2014,GB0003708665,152271096,0,0,0,0,0,0,0,0,0,0,65.25,,1147245,,,234748445,1900000,0,7309000,No,2.78,0,0,3,0,15,,,N,100,152271096,151123851,64.38,,,,64.38,64.87,,,,64.87,64.38,,,,64.38,64.87,,,,64.87,4,2.78,0,87.11,1.93,8.18,0,0,0,2.78,0,59.25,22.94,2.55,0,2.36,10.12,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,151123851,,,"04/06/14 to 26/06/14 - £1,251,200",GBP
UK Equity Income,Value and Income,Ordinary Share,30/06/2014,GB0008484718,181984399,35000000,44599586,35000000,44599586,0,0,0,0,0,35000000,263.38,,2374868,,,45549975,0,0,0,N/A,2.11,24,21,,,,Y,,N,100,146984399,144609531,317.47,,,,,322.69,,,,,296.4,,,,,301.61,,,,,4.98,2.11,0,97.89,0,0,0,0,0,2.11,0,33.25,30.19,6.62,0,2.09,0,100,0,0,0,0,0,100,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,179609531,Additional portfolio spread 25.74% in property.,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Fixed Interest,FTSE 100,FTSE 250,FTSE Small Cap,FTSE Fledgling,AIM/ PLUS,Int. Equities,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
UK Smaller Companies,Aberforth Smaller Companies,Ordinary Share,30/06/2014,GB0000066554,1166616771,32250000,32250000,32250000,32250000,0,0,0,0,0,32250000,1046,,13290240,,,95364792,0,18000,0,N/A,0,3,3,,0,20,,,N,100,1134366771,1121076531,1175.57,,,,,1189.5,,,,,1175.57,,,,,1189.5,,,,,,0,0,100,0,0,0,0,0,0,0,0,48,43,9,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1153326531,,,"Share buyback of 18,000 shares on 30 June 2014 at 1043.2p per share with total consideration of £188,152.55.",GBP
UK Smaller Companies,BlackRock Smaller Companies,Ordinary Share,30/06/2014,GB0006436108,474782670,39882381,43450000,39882381,43450000,0,0,0,0,0,39882381,793,,3570604,,,47879792,0,0,2113731,No,-0.21,9,9,,0,15,,,N,100,434900289,431329685,900.86,,,,900.86,908.32,,,,908.32,893.41,,,,893.41,900.87,,,,900.87,1.51,-0.21,0,96.35,0.35,0.89,0,0.94,1.68,-0.21,0,0,35.76,26.29,1.09,33.21,3.86,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,471212066,,,,GBP
UK Smaller Companies,BlackRock Throgmorton Trust,Ordinary Share,30/06/2014,GB0008910555,308028675,68905724,68905724,68905724,68905724,40072833,28832891,0,0,0,68905724,279,,2359784,,,73130326,0,0,7400000,No,0.67,29,28,,,,Y,,N,100,239122951,236763167,323.76,,,,323.76,326.98,,,,326.98,323.76,,,,323.76,326.98,,,,326.98,0.72,0.67,0,96.22,0.03,0.85,0,0.97,1.26,0.67,0,0,42.89,22.94,0.45,29.28,3.77,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,305668891,,,,GBP
UK Smaller Companies,Dunedin Smaller Companies,Ordinary Share,30/06/2014,GB00B1GCL258,113922195,5000000,5000000,5000000,5000000,0,0,0,0,0,5000000,201.75,,1707723,,,47857317,0,0,0,N/A,1.22,5,3,,0,20,,,N,100,108922195,107214472,224.03,,,,,227.6,,,,,224.03,,,,,227.6,,,,,2.7,1.22,0,98.78,0,0,0,0,0,1.22,0,1.12,61.91,32.49,1.81,1.45,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,112214472,,,,GBP
UK Smaller Companies,Henderson Smaller Companies,Ordinary Share,30/06/2014,GB0009065060,515044000,50325674,52609314,50325674,52609314,0,0,0,0,0,50325674,513.5,,8323000,,,74701796,0,0,0,N/A,0.25,11,11,,0,15,,,N,100,464718326,456395326,610.96,,,,,622.1,,,,,607.9,,,,,619.04,,,,,,0.25,0,99.75,0,0,0,0,0,0.25,0,0,72.64,18.95,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,506721000,,,,GBP
UK Smaller Companies,Invesco Perpetual UK Smaller Companies,Ordinary Share,30/06/2014,GB00B1FL3C76,191831900,0,0,0,0,0,0,0,0,0,0,312.63,,1632451,,,53209084,0,0,0,No,2.69,0,0,3,0,30,,,N,100,191831900,190199449,357.46,,,,,360.52,,,,,357.46,,,,,360.52,,,,,2.18,2.69,0,97.31,0,0,0,0,0,2.69,0,0,56.86,16.47,0,20.15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,190199449,"0.49% OF ADDITIONAL PORTFOLIO SPREAD RELATES TO OTHER STOCKS LISTED ON TECHMARK; 3.34% RELATES TO STOCK THAT ARE OUTSIDE OF THE FTSE SECTORS	",,,GBP
UK Smaller Companies,JPMorgan Smaller Companies,Ordinary Share,30/06/2014,GB0007416000,183786162,19000000,19000000,19000000,19000000,0,0,0,0,0,19000000,752.5,,1792608,,,18219372,0,0,0,N/A,4,12,7,,0,15,,,N,100,164786162,162993554,894.62,,,,,904.46,,,,,894.62,,,,,904.46,,,,,1.66,4,0,96,0,0,0,0,0,4,0,0,6,76,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,181993554,,,,GBP
UK Smaller Companies,Montanaro UK Smaller Companies,Ordinary Share,30/06/2014,GB0006007560,201265618,18000000,18069056,18000000,18069056,0,0,0,0,0,18000000,458.38,,3944284,,,33475958,0,0,0,Yes,1.17,10,9,,0,25,,,N,100,183265618,179321334,535.67,,,,,547.45,,,,,535.47,,,,,547.25,,,,,2.24,1.17,0,98.83,0,0,0,0,0,1.17,0,0,68.5,27.15,0,0,3.18,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,197321334,,,,GBP
UK Smaller Companies,Standard Life UK Smaller Companies,Ordinary Share,30/06/2014,GB0002959582,238569000,0,0,0,0,0,0,0,20584450,19057376,20584450,281.25,,2699018,,,71383586,0,0,0,No,10.88,9,0,2,0,25,,,N,100,238569000,235869982,301.59,,294.62,,,305.37,,297.99,,,301.59,,294.62,,,305.37,,297.99,,,,10.88,0,87.83,1.29,0,0,0,0,10.88,0,3.26,48.58,11.85,0.89,21.65,1.29,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,235869982,Additional portfolio spread 1.60% with no FTSE main market,,,GBP
UK Smaller Companies,Strategic Equity Capital,Ordinary Share,30/06/2014,GB00B0BDCB21,103432920,0,0,0,0,0,0,0,0,0,0,156,,465189,,,59558111,0,0,0,N/A,10.64,0,0,11,,,Y,,N,100,103432920,102967731,172.89,,,,,173.67,,,,,172.89,,,,,173.67,,,,,1.85,10.64,0,87.52,1.84,0,0,0,0,10.64,0,0,5.4,43.7,0,38.42,1.84,100,0,0,0,0,0,100,0,0,0,0,0,/zA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,102967731,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Fixed Interest,UK Listed,UK Unlisted,Cont. Eur Listed,Cont. Eur Unlisted,US Listed,US Unlisted,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
VCT AIM Quoted,Amati VCT,Ordinary Share,30/06/2014,GB00B05N8X20,41970290,0,0,0,0,0,0,0,0,0,0,79.75,,132138,,,50627614,391613,103000,0,N/A,12.14,0,0,12,,,Y,,N,100,41970290,41838152,82.64,,,,,82.9,,,,,82.64,,,,,82.9,,,,,,12.14,16.22,71.64,0,0,0,0,0,12.14,16.22,68.68,2.96,0,0,0,0,99,0,1,0,0,0,100,0,0,0,0,0,*z,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,41838152,,,"There were 354,742 shares issued on 04th June 2014 at 84.81 pence, and 36,871 shares issued on 23rd June 2014 at 85.59 pence per share.  103,000 shares were bought back for cancellation on 02nd June 2014 at 79.00 pence per share.",GBP
VCT AIM Quoted,Amati VCT 2,Ordinary Share,30/06/2014,GB00B641BB82,35964902,0,0,0,0,0,0,0,0,0,0,119.75,,-41778,,,28605625,309063,151576,0,N/A,10.06,0,0,10,,,Y,,N,100,35964902,36006680,125.87,,,,,125.73,,,,,125.87,,,,,125.73,,,,,,10.06,9.52,80.42,0,0,0,0,0,10.06,9.52,76.31,4.11,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,z,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,36006680,,,"On the 3rd June 2014, 296221 shares were issued at a price of 129.20 pence per share.

On the 23rd June 2014, 12842 shares were issued at a price of 129.40 pence per share.

On the 27th June 2014, 151576 shares were bought back at a price of 120.75 pence per share",GBP
VCT AIM Quoted,Artemis VCT,Ordinary Share,30/06/2014,GB00B02WQ947,39763411,0,0,0,0,0,0,0,0,0,0,64.75,,158971,,,56004961,0,212424,0,No,11.55,0,0,12,,,Y,No gearing currently undertaken by Artemis VCT.,Y,100,39763411,39604440,,,,,,71,,,,,,,,,,71,,,,,1.1,11.55,0.43,88.02,0,0,0,0,0,11.55,0.43,82.34,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,39604440,,,"on 30 June 2014, 212,424 shares were bought back and cancelled at a price of 63.81 pence per share.",GBP
VCT AIM Quoted,Downing ONE VCT,Ordinary Share,30/06/2014,GB00BFRSVQ41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT AIM Quoted,Hargreave Hale AIM VCT 1,Ordinary Share,30/06/2014,GB00B02WHS05,29610924,0,0,0,0,0,0,0,0,0,0,77.25,,169201,,,35922667,518843,88272,0,No,7,0,0,7,,,Y,,N,100,29610924,29441723,81.96,,,,,82.43,,,,,81.96,,,,,82.43,,,,,,7,0,93,0,0,0,0,0,7,0,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,29441723,,,,GBP
VCT AIM Quoted,Hargreave Hale AIM VCT 2,Ordinary Share,30/06/2014,GB00B1GDYS53,18325554,0,0,0,0,0,0,0,0,0,0,108.13,,40269,,,15833972,365823,0,0,N/A,14,0,0,14,,,Y,,N,100,18325554,18285285,115.48,,,,,115.74,,,,,115.48,,,,,115.74,,,,,,14,0,86,0,0,0,0,0,14,0,69,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,18285285,,,,GBP
VCT AIM Quoted,Octopus AIM VCT,Ordinary Share,30/06/2014,GB0034202076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT AIM Quoted,Octopus AIM VCT 2,Ordinary Share,30/06/2014,GB00B0JQZZ80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT AIM Quoted,Rensburg AIM VCT,Ordinary Share,30/06/2014,GB0005723167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT AIM Quoted,Unicorn AIM VCT,Ordinary Share,30/06/2014,GB00B1RTFN43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Fixed Interest,UK Listed,UK Unlisted,Cont. Eur Listed,Cont. Eur Unlisted,US Listed,US Unlisted,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
