ticker,n_navs,first,last,per_month,nav_frequency
JMF,4536,2006-04-04,2024-02-23,21.104132231404957,daily
JMGI,5202,2006-02-22,2026-09-11,21.068585131894483,daily
JPEL,269,2005-07-29,2026-06-02,1.0741626165769078,monthly
JSGI,4711,2006-03-10,2024-10-22,21.05784443464196,daily
JUGI,5208,2006-02-27,2026-09-11,21.106945740567923,daily
JUSC,5192,2006-03-03,2026-09-11,21.05332799786581,daily
JZCP,197,2008-09-11,2026-08-21,0.9139020296047611,monthly
KAY,38,2003-07-07,2024-08-16,0.14981195694462454,adhoc
KPC,4844,2006-03-07,2025-03-18,21.185095669687815,daily
LABS,1,2022-03-16,2022-03-16,1.0,monthly
LBOW,8,2018-05-24,2025-06-27,0.09386337321497491,adhoc
