security_id,company_name,obs_month,nav_total_return,nav_tr_cagr_3y,nav_tr_cagr_5y,nav_tr_cagr_10y
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-02,-0.02644986885608347,0.11827354011110654,0.1584988974055446,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-03,0.015421617102098661,0.10895273772799838,0.14467040286853652,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-04,0.001331693283589619,0.10570189266977252,0.13117859111952634,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-05,-0.005126799455848596,0.102167864202416,0.1284758857918153,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-06,-0.06413461636580708,0.0818106169988808,0.10729763398776448,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-07,-0.02267969295184924,0.06260798927491261,0.09734483850905472,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-08,-0.08168957515173159,0.022199262580022576,0.06695897554562753,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-09,-0.005637225124529244,0.004869098441928674,0.043701444004619276,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-10,0.03467487720841578,0.009682577613998563,0.05759368610954361,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-11,-0.004156629351471319,0.0022073724574760635,0.0530627914316493,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-12,0.010209647583360848,-0.0005042273864634377,0.04925893628284928,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-01,-0.01819398307372666,-0.02704609524775839,0.0576512927695594,0.11134761612718211
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-02,0.027115239769018418,-0.04215362396738081,0.07295324825151193,0.11354675274370357
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-03,0.04701377006436891,-0.034476981032507625,0.06957708356938526,0.1180480235366948
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-04,0.014941634241245172,-0.040477585060941915,0.07307855274447304,0.11871692669360769
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-05,-0.020483273818651893,-0.05857545750825712,0.06272974981666483,0.11512150687067609
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-06,0.1054414922168545,-0.0033893683283946234,0.07575694178665263,0.1259696337764184
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-07,0.05503120795524685,0.01655217151862996,0.08712291842817832,0.13115903676444834
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-08,0.04807609331402851,,0.10533117332765632,0.13549752539342988
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-09,-0.0036136752449523746,,0.12093966422473554,0.13382963334915637
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-10,0.07373843102688427,,0.14044170998738034,0.14090808957465117
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-11,-0.07318095140367542,,0.12695532822877895,0.13086051033460241
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2016-12,0.022124832772062675,,0.12832204134112407,0.1321881467152016
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-01,0.015598061074352465,,,0.13276929483496094
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-02,0.030379251806490037,,,0.1344192948272854
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-03,0.03197646835563139,,,0.13534800489046983
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-04,-0.02393928249022026,,,0.1291809636574363
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-05,0.026299112801013935,,,0.12841938535728256
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-06,0.008995101925018512,,,0.12740929544209176
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-07,-0.015324054548010668,,,0.12550914892954135
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-08,0.025800382974434877,,,0.134848488693794
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-09,-0.0277386605534633,,,0.12437501657500223
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-10,0.02522904877391552,,,0.12902648298272695
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-11,-0.03399645168709142,,,0.12702733159475016
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2017-12,0.02097628582846567,,,0.12279072475648653
NAME:aberdeen asia focus|ordinary share,abrdn Asia Focus,2025-05,0.05976787400615354,0.06901111648990285,,
NAME:aberdeen asia focus|ordinary share,abrdn Asia Focus,2025-06,0.0718761731496722,0.10833710497900047,,
NAME:aberdeen asia focus|ordinary share,abrdn Asia Focus,2025-07,0.033972735599978376,0.11186714552900257,,
NAME:aberdeen asia focus|ordinary share,abrdn Asia Focus,2025-08,0.03332551655853462,0.10399916093062245,,
NAME:aberdeen asia focus|ordinary share,abrdn Asia Focus,2025-09,0.026864160020255712,0.13397099032054027,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2025-10,0.07194989643949112,0.19413904383845337,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2025-11,-0.04055297419147084,0.14937961154601367,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2025-12,0.003249019277514531,0.15479748570627716,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-01,0.016504341985318804,0.14512521577030268,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-02,0.0727332798414122,0.18050592944808985,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-03,-0.09475450370893668,0.1432792204220577,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-04,0.14837576821773468,0.2038623075141554,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-05,0.03181277607883108,0.20799570516494767,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-06,0.028435138148928285,0.2139755010374805,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asia Focus,2026-07,-0.07192337810975247,0.16402525754184166,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2009-10,-0.05474363360868084,0.07179108605641542,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2009-11,0.023475877759967068,0.07840365802321889,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2009-12,0.05390794725407977,0.09562719573413916,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-01,-0.02023010546500481,0.08543150466119717,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-02,0.0781876895978082,0.0907234300057693,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-03,0.10224178616808843,0.14407087124144083,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-04,-0.0023055704228250873,0.1332183369724755,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-05,0.05216027730780337,0.1330151645941474,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-06,0.019296387810330495,0.12745353486649136,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-07,0.005271461002732014,0.10907390931878846,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-08,0.11279951006660038,0.16977074311137308,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-09,0.06841399236404899,0.18834077429116225,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-10,-0.011943854227029704,0.1721152318552715,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-11,0.027174090124140626,0.20292224155192362,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2010-12,0.014306106264869056,0.1859732476310978,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-01,-0.0878784088066048,0.16861958911030103,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-02,0.00198861688267149,0.1348524952981278,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-03,0.06706816315357234,0.1603925570278673,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-04,0.017156233966136636,0.16392756427617575,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-05,0.01648853999180311,0.18626918422297434,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-06,-0.031201538366106285,0.2096321088387838,,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-07,0.10606351645537204,0.28305106829007487,0.18686402954157902,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-08,-0.01843758140611884,0.2524560174458287,0.17837863691643882,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-09,-0.09041047416843606,0.2509287846919463,0.1513121412036527,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-10,-0.026940283991441327,0.3379838537389595,0.14188553872273155,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-11,0.04487756121939035,0.36924046571351005,0.14967118473583757,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2011-12,0.02550857725910327,0.2874028003959954,0.15284764353687585,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-01,0.030159815931845024,0.30958065067085627,0.156973216390822,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-02,0.10491367861885781,0.3648699680126672,0.16605069797496352,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-03,0.038734702797202925,0.3776920993054682,0.18578501778307274,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-04,0.0373165728711935,0.36014612487410347,0.1882425816962784,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-05,-0.011788566358220232,0.3408686118701071,0.17330787003213605,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-06,-0.020805541303232422,0.3162944138972489,0.16049542878628165,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-07,0.009981922502554363,0.30650163606273234,0.15018204895426543,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-08,0.031206225680933786,0.29475519400976885,0.16959759112155307,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-09,0.0830126028224285,0.28146378998506894,0.18391193876688852,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-10,0.02129932873435081,0.3149446852165052,0.18198311107126833,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-11,0.024289288151012167,0.3152929449933858,0.19985104254669403,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-12,0.05777343576535365,0.31689904556054865,0.19970497299171472,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-01,0.09145675902602868,0.36514871370687624,0.23260572451426517,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-02,0.09617862568994373,0.372699949696386,0.23306974446954468,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-03,0.03165023334152073,0.3427468873122193,0.24123786574409775,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-04,0.02345158327948016,0.35420393849476844,0.2450407171425628,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-05,-0.0008308270052009847,0.3310768005266977,0.25500437520954866,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-06,-0.12818679217042783,0.26350636435317165,0.2432694870391721,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-07,-0.024016176105907783,0.25111487969148977,0.2561808466812225,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-08,-0.12065123915252907,0.15667655446435075,0.2111890580341942,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-09,0.052143762085750334,0.1507750530316213,0.24606278903509674,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-10,0.041595369372795066,0.17119599169908586,0.31517276951707845,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-11,-0.09520139536770367,0.12270467936104829,0.295679012019,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-12,-0.06195642428046266,0.09383090716581571,0.22657752182658744,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-01,-0.017659147390556407,0.12120927139634904,0.22748784913221753,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-02,0.018463110267824545,0.12732079635716073,0.2379867863105739,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-03,0.06386739275819253,0.1261924995323421,0.2509187858715551,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-04,0.03129630461137811,0.1313871176434861,0.23989121832106886,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-05,-0.016392371995820332,0.11905396375374315,0.22816970475096293,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-06,0.02018458269703216,0.13849938858208144,0.22461741297068213,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-07,0.04751057598438013,0.1180440586340147,0.22807119646009946,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-08,0.0593973283628455,0.14684810642970117,0.2280409168676729,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-09,0.010439270424022151,0.1877567043380441,0.20364768441733205,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-10,0.005997639638593899,0.20101006386655232,0.21873379696776327,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-11,0.02538607996615183,0.1934951306542668,0.21918838353524564,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-12,-0.04645797775568761,0.1648969229667811,0.1950284580285185,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-01,0.07004327301337532,0.17974028615025814,0.21628037020624907,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-02,-0.0027940662855462373,0.14008853435356183,0.19743457708021067,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-03,0.010507106121771859,0.12966625284452263,0.1768044305906603,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-04,-0.03299950747003777,0.10354135933294088,0.16947279755238423,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-05,-0.04582154310507458,0.09072481071489757,0.14683163798478888,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-06,-0.057630335501472785,0.07687668809304253,0.12897370771751723,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-07,-0.07317584861326742,0.04647106080083793,0.11077635316312481,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-08,-0.03336502331477198,0.02415624116111548,0.07993033761596238,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-09,-0.009319970026227087,-0.005817344969187723,0.06373759851096797,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-10,0.026237413132889076,-0.0042175963307267295,0.07183455418079102,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-11,0.018311221669430555,-0.006158607875248337,0.06997849378947667,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2015-12,-0.031711564995137054,-0.03501378354399933,0.06008866185907188,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2016-01,0.059450115629891,-0.04454016301423436,0.0923146159259471,0.12287550423096492
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2016-02,0.057238611809322215,-0.055990572432701204,0.10410350983385945,0.12857675060587387
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2016-03,0.012054223149113641,-0.062005917841345244,0.09247652641327293,0.12881099018079073
