file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2014-06_mir_PostMIRErrataAdditional1406.csv,mir,2,2.0,2.0
2014-07_mir_ErrataAdditional1407.csv,mir,12,12.0,12.0
2014-07_mir_MIR1407.csv,mir,433,203.0,202.0
2014-07_mir_PostMIRErrataAdditional1407.csv,mir,1,1.0,1.0
2014-08_mir_ErrataAdditional1408.csv,mir,21,21.0,21.0
2014-08_mir_MIR1408.csv,mir,430,208.0,208.0
2014-08_mir_PostMIRErrataAdditional1408.csv,mir,9,9.0,9.0
2014-09_mir_ErrataAdditional1409.csv,mir,40,39.0,39.0
2014-09_mir_MIR1409.csv,mir,424,201.0,200.0
2014-10_mir_ErrataAdditional1410.csv,mir,64,64.0,64.0
2014-10_mir_MIR1410.csv,mir,421,200.0,199.0
2014-10_mir_PostMIRErrataAdditional1410.csv,mir,25,25.0,25.0
2014-11_mir_ErrataAdditional1411.csv,mir,45,44.0,44.0
2014-11_mir_MIR1411.csv,mir,413,203.0,202.0
2014-11_mir_PostMIRErrataAdditional1411.csv,mir,2,2.0,2.0
2014-12_mir_ErrataAdditional1412.csv,mir,50,50.0,50.0
2014-12_mir_MIR1412.csv,mir,411,202.0,201.0
2015-01_mir_ErrataAdditional1501.csv,mir,5,5.0,5.0
2015-01_mir_MIR1501.csv,mir,412,200.0,200.0
2015-02_mir_ErrataAdditional1502.csv,mir,5,5.0,5.0
2015-02_mir_MIR1502.csv,mir,415,203.0,203.0
2015-02_mir_PostMIRErrataAdditional1502.csv,mir,2,2.0,2.0
2015-03_mir_ERR1503.CSV,mir,12,12.0,12.0
2015-03_mir_MIR1503.CSV,mir,417,200.0,200.0
2015-03_mir_PostMIRErrataAdditional1503.csv,mir,28,28.0,28.0
2015-04_mir_ErrataAdditional1504.csv,mir,4,4.0,4.0
2015-04_mir_MIR1504.CSV,mir,418,198.0,198.0
2015-04_mir_PostMIRErrataAdditional1504.csv,mir,23,23.0,23.0
2015-05_mir_ErrataAdditional1505.csv,mir,29,29.0,29.0
2015-05_mir_MIR1505.CSV,mir,420,204.0,204.0
2015-05_mir_PostMIRErrataAdditional1505.csv,mir,3,3.0,3.0
2015-06_mir_ErrataAdditional1506.csv,mir,18,18.0,18.0
2015-06_mir_MIR1506.csv,mir,424,203.0,202.0
2015-06_mir_PostMIRErrataAdditional1506.csv,mir,2,2.0,2.0
2015-07_mir_ErrataAdditional1507.CSV,mir,29,29.0,29.0
2015-07_mir_MIR1507.CSV,mir,428,203.0,202.0
2015-07_mir_PostMIRErrataAdditional1507.csv,mir,25,25.0,25.0
2015-08_mir_ErrataAdditional1508.csv,mir,47,47.0,47.0
2015-08_mir_MIR1508.csv,mir,427,206.0,205.0
2015-08_mir_PostMIRErrataAdditional1508.csv,mir,5,5.0,5.0
2015-09_mir_ErrataAdditional1509.CSV,mir,11,11.0,11.0
2015-09_mir_MIR1509.CSV,mir,430,204.0,202.0
2015-09_mir_PostMIRErrataAdditional1509.csv,mir,6,6.0,6.0
2015-10_mir_ErrataAdditional1510.csv,mir,14,14.0,14.0
2015-10_mir_MIR1510.csv,mir,425,201.0,200.0
2015-10_mir_PostMIRErrataAdditional1510.csv,mir,2,2.0,2.0
2015-11_mir_ErrataAdditional1511.csv,mir,52,52.0,52.0
2015-11_mir_MIR1511.csv,mir,423,204.0,203.0
2015-11_mir_PostMIRErrataAdditional1511.csv,mir,27,27.0,27.0
