name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis,avg_monthly_one_way_turnover,avg_holdings,median_holdings,avg_missing_return_weight
BM_equal_weight_universe|development|gross,119,2007-02-28 00:00:00,2016-12-31 00:00:00,1.246746657613715,0.08505270517073438,0.18815231135491303,0.5225486575805857,0.9547530560047149,-0.4472996261588088,0.1901470517673479,0.379368567243628,-0.1728584202976317,0.5966386554621849,1.6455443588970131,,,,,,BM_equal_weight_universe,development,gross,,,,
BM_equal_weight_universe|development|net,119,2007-02-28 00:00:00,2016-12-31 00:00:00,1.0573471753429264,0.07545945522721209,0.1880227064864052,0.4752764950762217,0.860693332555191,-0.45479172548724267,0.16592090620463323,0.37892575013796226,-0.17367103555020502,0.5966386554621849,1.4966808239640528,,,,,,BM_equal_weight_universe,development,net_headline,,,,
BM_equal_weight_universe|validation|gross,59,2017-02-28 00:00:00,2021-12-31 00:00:00,4839565.311832458,21.888727557887872,652.3058706741958,0.630506367250225,4000.849704978027,-0.26951214440716786,81.21610848385104,1218.4707171823288,-0.1729192054783511,0.6271186440677966,1.3980569393936673,,,,,,BM_equal_weight_universe,validation,gross,,,,
BM_equal_weight_universe|validation|net,59,2017-02-28 00:00:00,2021-12-31 00:00:00,4114126.2900160784,21.14505816553018,652.3074217097118,0.6304537592244848,3821.207775422617,-0.2703700003131657,78.20785642282118,1218.4703478615206,-0.17331739873325647,0.6101694915254238,1.3979402886835806,,,,,,BM_equal_weight_universe,validation,net_headline,,,,
BM_equal_weight_universe|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,2.9952386518582768,0.3604298781558959,1.0031760265216423,0.5310570661503942,6.907249021463156,-0.1462726363751744,2.4640964098809977,2.118873313549117,-0.09429143842153519,0.5740740740740741,1.1265421580159303,,,,,,BM_equal_weight_universe,holdout,gross,,,,
BM_equal_weight_universe|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,2.7714253913154225,0.34311233588896006,1.0035157826729555,0.5180614086246264,6.6166257001385915,-0.15601615788742085,2.1992102647249223,2.1183339336212526,-0.09470533694924112,0.5370370370370371,1.098974205328585,,,,,,BM_equal_weight_universe,holdout,net_headline,0.0901161427354436,169.41276595744682,179.0,0.04094822259728309
BM_cap_weight_universe|full|gross,234,2007-02-28 00:00:00,2026-07-31 00:00:00,1666.4300054918147,0.4629625567910953,105.66038529077582,0.3207332437765151,137.64741361706132,-0.9966909169286658,0.4644996246356181,350.7033823691735,-0.9966909169286658,0.5811965811965812,1.4163196554579078,0.9179424588185621,0.3174233914205711,0.2695842209597786,-0.31044796569699207,234.0,BM_cap_weight_universe,full,gross,,,,
BM_cap_weight_universe|full|net,234,2007-02-28 00:00:00,2026-07-31 00:00:00,1149.610930370234,0.43539256404569526,105.66062560329156,0.32060520094403544,137.1386457300474,-0.997036545045817,0.4366866653074262,350.70296882261755,-0.997036545045817,0.5811965811965812,1.415754233619354,0.9044165425689366,0.31742410294922496,0.26561085627836184,-0.3105079577174957,234.0,BM_cap_weight_universe,full,net_headline,,,,
BM_cap_weight_universe|development|gross,119,2007-02-28 00:00:00,2016-12-31 00:00:00,0.6293191270185015,0.05045819140648522,0.14861835724255495,0.407055187596076,0.5786179641404239,-0.4322647362371884,0.11672983516008638,0.12263966965986928,-0.16400981710537205,0.5798319327731093,1.2818468825655531,0.004845917792331793,0.5660157645046009,0.1449323736999761,-0.28662463113841435,119.0,BM_cap_weight_universe,development,gross,,,,
BM_cap_weight_universe|development|net,119,2007-02-28 00:00:00,2016-12-31 00:00:00,0.5120203231301894,0.04257342733674063,0.14850303545492305,0.3563516560359007,0.5026289164433064,-0.4372947711120696,0.0973563603984415,0.12228941587465575,-0.16456595812054287,0.5798319327731093,1.1221777127674541,-0.0026894238207608523,0.5655964236471741,-0.08050110387705114,-0.3440856729441193,119.0,BM_cap_weight_universe,development,net_headline,,,,
BM_cap_weight_universe|validation|gross,59,2017-02-28 00:00:00,2021-12-31 00:00:00,520.154761083106,2.569467224805537,209.07004382458956,0.641462411136362,292.58844865140316,-0.9966909169286658,2.577998034459299,350.7033823691735,-0.9966909169286658,0.6440677966101694,1.422350386659104,3.6487046615781034,0.31720705258072146,0.26353361599932723,-0.620913461058914,59.0,BM_cap_weight_universe,validation,gross,,,,
BM_cap_weight_universe|validation|net,59,2017-02-28 00:00:00,2021-12-31 00:00:00,405.9159884511728,2.3942726888680177,209.07133034642789,0.6413237701906537,291.7998986181958,-0.997036545045817,2.4013890972852887,350.70296882261755,-0.997036545045817,0.6440677966101694,1.4220429703564315,3.6197489654978865,0.31720898581042334,0.2614398979358399,-0.620978270829491,59.0,BM_cap_weight_universe,validation,net_headline,,,,
BM_cap_weight_universe|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,1.140487997091919,0.18426062049741554,0.314533137833086,0.6610034212582344,2.503563613449519,-0.17229248698694577,1.0694640475610324,0.6068393260994657,-0.0872304659415648,0.5185185185185185,1.402200004677617,0.05044989341451196,0.2955597252989577,0.9979424880044361,-0.45467765119419395,54.0,BM_cap_weight_universe,holdout,gross,,,,
BM_cap_weight_universe|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,1.0399724199854141,0.1716702398582295,0.31516183954289234,0.6258485215385915,2.332636826613298,-0.1782583179498769,0.9630419597390127,0.6068075075262841,-0.08747906365730537,0.5185185185185185,1.3276252007265392,0.039542724076462095,0.2960163434562704,0.7778236035846914,-0.4698449172591323,54.0,BM_cap_weight_universe,holdout,net_headline,0.07482101291229072,169.40851063829788,179.0,0.04169655486263641
