ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
MRC,2025-05-22,Dividend Declaration,1.55,pence,GBX,1.55,2025-06-05,2025-08-01,high,quarterly,Dividend Declaration
MRCH,2008-01-14,Dividend Declaration,,,,,,,,,Dividend Declaration
MRCH,2010-01-11,Dividend Declaration,,,,,,,,,Dividend Declaration
MRCH,2013-07-01,Dividend Declaration,5.9,p,GBX,5.9,,2013-08-14,medium,quarterly,Dividend Declaration
MRCH,2014-01-21,Dividend Declaration,5.9,p,GBX,5.9,,2014-02-26,medium,quarterly,Dividend Declaration
MRCH,2014-07-02,Dividend Declaration,5.9,p,GBX,5.9,,2014-08-14,medium,quarterly,Dividend Declaration
MRCH,2016-01-20,Dividend Declaration,6.0,p,GBX,6.0,,2016-02-24,medium,quarterly,Dividend Declaration
MRCH,2016-07-04,Dividend Declaration,6.0,p,GBX,6.0,,2016-08-12,medium,quarterly,Dividend Declaration
MRCH,2017-01-16,Dividend Declaration,6.1,p,GBX,6.1,,2017-02-23,medium,quarterly,Dividend Declaration
MRCH,2018-07-04,Dividend Declaration,6.4,p,GBX,6.4,,2018-08-22,medium,quarterly,Dividend Declaration
MRCH,2020-01-21,Third quarterly dividend,6.8,p,GBX,6.8,,2020-03-11,medium,quarterly,Third quarterly dividend
MRCH,2022-07-07,Dividend Declaration,6.85,p,GBX,6.85,,2022-08-24,medium,first interim,Dividend Declaration
MRCH,2024-04-05,Dividend Declaration,7.1,p,GBX,7.1,2024-04-18,2024-05-22,high,final,Dividend Declaration
MTU,2020-04-14,Dividend Declaration,1.14,pence,GBX,1.14,2020-04-23,2020-05-26,high,quarterly,Dividend Declaration
MTU,2022-01-28,Dividend Declaration,1.7,pence,GBX,1.7,2022-02-10,2022-03-04,high,quarterly,Dividend Declaration
MTU,2022-04-12,Dividend Declaration,1.36,pence,GBX,1.36,2022-04-21,2022-05-13,high,quarterly,Dividend Declaration
MUT,2022-11-01,Announcement of Interim Dividends,8.25,pence,GBX,8.25,2022-11-17,2022-11-17,high,interim,Announcement of Interim Dividends
MUT,2023-08-02,Fourth Interim Dividend,12.75,p,GBX,12.75,2023-08-17,2023-09-14,high,fourth interim,Fourth Interim Dividend
MUT,2025-07-31,Fourth Interim Dividend,11.5,p,GBX,11.5,2025-08-14,2025-09-11,high,fourth interim,Fourth Interim Dividend
MUT,2026-05-11,Dividend Declaration,9.5,pence,GBX,9.5,2026-05-21,2026-06-18,high,third interim,Dividend Declaration
MYI,2007-12-04,Third Interim Dividend,,,,,,,,,Third Interim Dividend
