security_id,company_name,entry_month,exit_month,months_held,entry_discount,entry_z,entry_nav_cagr_5y,spell_compound_return,n_missing_returns,contribution
SEDOL:454351,Montanaro European Smaller Companies,2018-11,2018-11,1,-0.13061477954874767,-0.15997301558681754,0.11304193330330159,0.023809523809523725,0,0.003968253968253955
SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,2022-11,2022-12,2,-0.024156900263095027,-0.3718934244695674,0.10871951650860792,0.06372549019607843,0,0.00392156862745098
SEDOL:3353790,Premier Miton Global Renewables,2021-10,2021-10,1,-0.09656110355546921,-0.3700462899493226,0.1269372986707914,0.043010752688172005,0,0.003910068426197455
SEDOL:914327,JPMorgan Global Growth & Income,2021-07,2021-07,1,0.01918040908769192,-0.2403453921108241,0.16077201991819554,0.02314814814814814,0,0.0038580246913580236
SEDOL:370866,Troy Income & Growth,2015-10,2015-10,1,0.007551553877432449,-0.11240407329087677,0.11355973241488403,0.03415970020178727,0,0.0037955222446430298
SEDOL:906409,TR Property,2017-03,2017-03,1,-0.1270160133157321,-1.0712786320911392,0.14819794167048872,0.03385930309007246,0,0.003762144787785828
SEDOL:846505,JPMorgan American,2023-11,2023-11,1,-0.04033149873527131,-0.3172130581026443,0.12269288487242215,0.07417218543046356,0,0.003708609271523177
SEDOL:B0CRWN5,Schroder Oriental Income,2016-12,2016-12,1,-0.008733624454148492,-0.22075439376760758,0.14554359349372892,0.022026431718061623,0,0.003671071953010271
SEDOL:906409,TR Property,2017-05,2017-06,2,-0.083305730374296,-0.2532352921709643,0.1527875389990216,0.024390243902439046,0,0.003670753289401014
SEDOL:791586,Schroder Income Growth Fund,2025-11,2025-11,1,-0.09184325270086369,-0.406897460777897,0.1449208608729304,0.03669724770642202,0,0.003669724770642202
