month,action,security_id,company_name,weight_change_pct,price_gbx_at_signal,entry_discount,entry_z,dividend_gbx_per_share,income_per_100_invested
2025-11,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-6.67,583.0,-0.04015541908822995,-2.5818845093576073,,
2025-11,SELL,SEDOL:958057,Henderson High Income Trust,-6.67,185.5,-0.07082748948106588,-0.3100369923240287,,
2025-11,SELL,SEDOL:B15FW33,Geiger Counter,-6.67,61.5,-0.25246140756047153,-1.317005936395879,,
2025-11,SELL,SEDOL:BF50VS4,Ashoka India Equity,-6.67,281.0,0.0007835315905693196,-0.117771728535312,,
2025-11,BUY,SEDOL:BKLGLS1,Nippon Active Value Fund,10.0,202.0,-0.06555026136836739,-0.4914393166053123,,
2025-11,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,5.75,0.0986
2025-12,BUY,SEDOL:3142921,Law Debenture Corporation,2.5,1032.0,-0.034638878235409676,-1.8812822884536984,,
2025-12,BUY,SEDOL:342218,JPMorgan Claverhouse,2.5,842.0,-0.054219506441865906,-0.03607166705507199,,
2025-12,SELL,SEDOL:346607,F&C Investment Trust,-10.0,,,,,
2025-12,BUY,SEDOL:580007,Merchants Trust,2.5,586.0,-0.0547624808452295,-1.2963847265179667,,
2025-12,SELL,SEDOL:791586,Schroder Income Growth Fund,-10.0,,,,,
2025-12,BUY,SEDOL:914327,JPMorgan Global Growth & Income,2.5,574.0,-0.03282334703781087,-2.124287981837533,,
2025-12,BUY,SEDOL:958057,Henderson High Income Trust,2.5,187.0,-0.06218655967903719,-0.02920977557493827,,
2025-12,BUY,SEDOL:B15FW33,Geiger Counter,2.5,55.0,-0.16880761674474842,-0.1600419002279654,,
2025-12,BUY,SEDOL:BF50VS4,Ashoka India Equity,2.5,277.0,-0.004027038688335982,-0.30727764980225136,,
2025-12,SELL,SEDOL:BKLGLS1,Nippon Active Value Fund,-10.0,,,,,
2025-12,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,12.5,223.5,-0.0756059227396807,-0.2543069676955575,,
2025-12,DIVIDEND,SEDOL:958057,Henderson High Income Trust,,,,,2.775,0.1855
2026-01,SELL,SEDOL:3142921,Law Debenture Corporation,-12.5,,,,,
2026-01,SELL,SEDOL:342218,JPMorgan Claverhouse,-12.5,,,,,
2026-01,SELL,SEDOL:580007,Merchants Trust,-12.5,,,,,
2026-01,BUY,SEDOL:914327,JPMorgan Global Growth & Income,87.5,574.0,-0.02581422582780335,-1.6206528199333776,,
2026-01,SELL,SEDOL:958057,Henderson High Income Trust,-12.5,,,,,
2026-01,SELL,SEDOL:B15FW33,Geiger Counter,-12.5,,,,,
2026-01,SELL,SEDOL:BF50VS4,Ashoka India Equity,-12.5,,,,,
2026-01,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-12.5,,,,,
2026-02,BUY,SEDOL:2894108,Hansa Investment Company,20.0,274.0,-0.44721286339701816,-1.282671691745588,,
2026-02,BUY,SEDOL:580007,Merchants Trust,20.0,628.0,-0.053190206247738514,-1.085974205023606,,
2026-02,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-80.0,577.0,-0.027194712794834208,-1.5896262405910102,,
2026-02,BUY,SEDOL:B15FW33,Geiger Counter,20.0,81.0,-0.176243262483474,-0.2267513076207693,,
2026-02,BUY,SEDOL:BF50VS4,Ashoka India Equity,20.0,243.5,-0.017233724825442942,-0.9270299181809326,,
2026-03,SELL,SEDOL:580007,Merchants Trust,-20.0,,,,,
2026-03,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,20.0,257.0,-0.08148677626876344,-0.38908102600846,,
2026-03,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,5.75,0.1973
2026-04,BUY,NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,9.09,373.0,-0.1049575274751644,-0.21324403941782438,,
2026-04,BUY,SEDOL:199049,City of London Investment Trust,9.09,538.0,-0.0030944836659438923,-0.30034293555498837,,
2026-04,SELL,SEDOL:2894108,Hansa Investment Company,-10.91,268.0,-0.45964473657680915,-1.5618755205773565,,
2026-04,BUY,SEDOL:3142921,Law Debenture Corporation,9.09,1056.0,-0.023370665976120697,-1.2051152980777629,,
2026-04,BUY,SEDOL:346607,F&C Investment Trust,9.09,1203.0,-0.09467188440698371,-0.5723720945330075,,
2026-04,BUY,SEDOL:802284,Schroder Japan Trust,9.09,308.0,-0.11616161616161624,-0.4073620480798406,,
2026-04,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-10.91,542.0,-0.04760231246375801,-2.280141379593238,,
2026-04,BUY,SEDOL:958057,Henderson High Income Trust,9.09,186.0,-0.06892926865895788,-0.08245837972080293,,
2026-04,SELL,SEDOL:B15FW33,Geiger Counter,-10.91,66.5,-0.24095422896929575,-1.0541770594137374,,
2026-04,SELL,SEDOL:BF50VS4,Ashoka India Equity,-20.0,,,,,
2026-04,BUY,SEDOL:BKLGLS1,Nippon Active Value Fund,9.09,222.0,-0.054756024865877606,-0.5219273435917428,,
2026-04,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-10.91,225.0,-0.09837707874173518,-0.6880006078196569,,
2026-04,DIVIDEND,NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,,,,,8.34,0.2033
2026-04,DIVIDEND,SEDOL:199049,City of London Investment Trust,,,,,5.65,0.0955
2026-04,DIVIDEND,SEDOL:958057,Henderson High Income Trust,,,,,5.55,0.2713
2026-05,SELL,NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,-9.09,,,,,
2026-05,SELL,SEDOL:199049,City of London Investment Trust,-9.09,,,,,
2026-05,BUY,SEDOL:2894108,Hansa Investment Company,10.91,280.0,-0.4573958878359785,-1.4277882022829649,,
2026-05,SELL,SEDOL:3142921,Law Debenture Corporation,-9.09,,,,,
2026-05,SELL,SEDOL:346607,F&C Investment Trust,-9.09,,,,,
2026-05,SELL,SEDOL:802284,Schroder Japan Trust,-9.09,,,,,
2026-05,BUY,SEDOL:914327,JPMorgan Global Growth & Income,10.91,584.0,-0.02642327248478793,-1.163562299778211,,
2026-05,SELL,SEDOL:958057,Henderson High Income Trust,-9.09,,,,,
2026-05,BUY,SEDOL:B15FW33,Geiger Counter,10.91,72.4,-0.23733277151585375,-0.954085786632986,,
2026-05,BUY,SEDOL:BF50VS4,Ashoka India Equity,20.0,235.0,-0.038461538461538436,-1.7726330085757063,,
2026-05,SELL,SEDOL:BKLGLS1,Nippon Active Value Fund,-9.09,,,,,
2026-05,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,10.91,243.0,-0.10427955324560445,-0.7723914692335591,,
2026-05,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,5.75,0.1969
2026-06,SELL,SEDOL:2894108,Hansa Investment Company,-20.0,,,,,
2026-06,BUY,SEDOL:914327,JPMorgan Global Growth & Income,80.0,597.5,-0.022926478283621154,-0.9452683928694114,,
2026-06,SELL,SEDOL:B15FW33,Geiger Counter,-20.0,,,,,
2026-06,SELL,SEDOL:BF50VS4,Ashoka India Equity,-20.0,,,,,
2026-06,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-20.0,,,,,
