security_id,name,market,basis,staleness_days,z_adj,z_status,z_source,g_used,irr_central,nav_ok,z_ok,growth_ok,irr_ok,signal_complete,blockers
SEDOL:BN6JYS7,Parvus Energy Efficiency Trust,UK,0.0,189.0,1.9407,computed,own_daily_panel,0.0476,-0.0485,True,True,True,True,True,
SEDOL:3047468,Patria Private Equity,UK,0.0,125.0,-0.2083,within_error_band,own_daily_panel,0.0396,0.0459,False,True,True,True,False,nav
SEDOL:BPFJTF4,Pershing Square Holdings,UK,3.0,14.0,-1.8852,computed_growing_23m,own_daily_panel,0.1146,0.1478,True,True,True,True,True,
SEDOL:682754,Personal Assets Trust,UK,0.0,2.0,0.0583,within_error_band,aggregator_panel,0.0568,0.0735,True,True,True,True,True,
SEDOL:B248KJ2,Phoenix Spree Deutschland,UK,,,,no_discount_history,,0.0476,,False,False,True,False,False,nav+z:no_discount_history
SEDOL:B9XQT11,Polar Capital Global Financials,UK,0.0,1.0,1.3518,computed,aggregator_panel,0.1306,0.1436,True,True,True,True,True,
SEDOL:B6832P1,Polar Capital Global Healthcare,UK,1.0,2.0,0.9813,computed,aggregator_panel,0.0243,0.4193,True,True,True,True,True,
SEDOL:422002,Polar Capital Technology,UK,0.0,1.0,-0.0151,within_error_band,aggregator_panel,0.15,0.4931,True,True,True,True,True,
SEDOL:736639,RIT Capital Partners,UK,0.0,16.0,1.2601,computed,own_daily_panel,0.0668,0.0645,True,True,True,True,True,
SEDOL:BKTRRM2,RTW Biotech Opportunities,UK,,,,no_discount_history,,0.03,,False,False,True,False,False,nav+z:no_discount_history
SEDOL:B0HW536,Real Estate Credit Investments,UK,0.0,16.0,-0.6614,within_error_band,own_daily_panel,0.0083,0.0146,True,True,True,True,True,
SEDOL:BYV2ZQ3,Regional REIT,UK,0.0,60.0,,no_discount_history,,0.0476,,True,False,True,False,False,z:no_discount_history
SEDOL:BBHX2H9,Renewables Infrastructure Group,UK,0.0,60.0,379.1586,computed,own_daily_panel,0.0476,-0.4861,True,True,True,True,True,
SEDOL:BYSX150,Residential Secure Income REIT,UK,0.0,125.0,-3.2502,computed,own_daily_panel,0.0476,0.5529,True,True,True,True,True,
SEDOL:739207,Rights & Issues Investment Trust,UK,0.0,1.0,,no_discount_history,,0.0077,,True,False,True,False,False,z:no_discount_history
SEDOL:BRGCGK0,River UK Micro Cap,UK,0.0,2.0,-0.0302,within_error_band,own_daily_panel,0.0073,0.0066,True,True,True,True,True,
SEDOL:BBHXCL3,Riverstone Energy,UK,3.0,125.0,-1.4815,computed,own_daily_panel,0.15,0.197,True,True,True,True,True,
SEDOL:BYRH498,Rockwood Strategic,UK,0.0,2.0,-0.5856,within_error_band,aggregator_panel,0.0542,0.0833,True,True,True,True,True,
SEDOL:B018CS4,Ruffer Investment Company,UK,0.0,4.0,0.2094,within_error_band,own_daily_panel,0.0456,0.0464,True,True,True,True,True,
SEDOL:BGHVZM4,SDCL Efficiency Income,UK,0.0,125.0,-1.3448,computed,own_daily_panel,0.0476,0.1671,True,True,True,True,True,
SEDOL:B09G3N2,STS Global Income & Growth Trust,UK,0.0,2.0,0.2444,within_error_band,aggregator_panel,0.0722,0.0717,True,True,True,True,True,
SEDOL:791887,Schroder AsiaPacific Fund,UK,0.0,1.0,0.1951,within_error_band,aggregator_panel,0.076,0.0947,True,True,True,True,True,
SEDOL:871079,Schroder Asian Total Return,UK,0.0,1.0,-0.953,computed,aggregator_panel,0.0815,0.1051,True,True,True,True,True,
SEDOL:BN7JZR2,Schroder British Opportunities,UK,0.0,1.0,-1.2278,computed,aggregator_panel,-0.0431,0.005,True,True,True,True,True,
SEDOL:BY7R8K7,Schroder European Real Estate,UK,0.0,60.0,-0.6273,within_error_band,own_daily_panel,0.0476,0.0722,True,True,True,True,True,
SEDOL:791586,Schroder Income Growth Fund,UK,0.0,1.0,1.0636,computed,aggregator_panel,0.103,0.1338,True,True,True,True,True,
SEDOL:802284,Schroder Japan Trust,UK,0.0,1.0,0.1767,within_error_band,aggregator_panel,0.1058,0.1194,True,True,True,True,True,
SEDOL:B0CRWN5,Schroder Oriental Income,UK,0.0,1.0,0.0171,within_error_band,aggregator_panel,0.0633,0.0894,True,True,True,True,True,
SEDOL:610841,Schroder UK Mid Cap Fund,UK,0.0,1.0,0.7071,computed,aggregator_panel,0.019,0.0604,True,True,True,True,True,
SEDOL:BVG1CF2,Schroders Capital Global Innovation Trust,UK,1.0,125.0,1.3798,computed,own_daily_panel,-0.05,-0.0081,True,True,True,True,True,
SEDOL:787369,Scottish American,UK,0.0,1.0,0.3001,computed,aggregator_panel,0.0692,0.1021,True,True,True,True,True,
SEDOL:783884,Scottish Mortgage Investment Trust,UK,0.0,1.0,-0.1665,within_error_band,aggregator_panel,0.0599,0.2046,True,True,True,True,True,
SEDOL:783613,Scottish Oriental Smaller Companies,UK,0.0,2.0,3.3203,computed,aggregator_panel,0.074,0.0795,True,True,True,True,True,
SEDOL:BV54HY6,Sequoia Economic Infrastructure Income,UK,0.0,5.0,2.1153,computed,own_daily_panel,-0.0195,-0.0324,True,True,True,True,True,
SEDOL:B0BDCB2,Strategic Equity Capital,UK,0.0,2.0,-3.2055,computed,aggregator_panel,0.018,0.0524,True,True,True,True,True,
SEDOL:BF345X1,Supermarket Income REIT,UK,3.0,189.0,1.0274,within_error_band,own_daily_panel,0.0476,0.0352,True,True,True,True,True,
SEDOL:BYWYZ46,Sure Ventures,UK,3.0,60.0,-1.687,computed,own_daily_panel,0.15,0.5395,True,True,True,True,True,
SEDOL:B8P59C0,Syncona,UK,0.0,125.0,,no_discount_history,,0.03,0.1667,True,False,True,True,False,z:no_discount_history
SEDOL:906409,TR Property Investment Trust,UK,0.0,1.0,-1.1358,computed,aggregator_panel,-0.05,-0.0459,True,True,True,True,True,
SEDOL:B95CGW7,Target Healthcare REIT,UK,0.0,60.0,340.5601,computed,own_daily_panel,0.0476,-0.4731,True,True,True,True,True,
SEDOL:882532,Temple Bar Investment Trust,UK,0.0,2.0,1.0523,computed,aggregator_panel,0.15,0.1611,True,True,True,True,True,
SEDOL:882929,Templeton Emerging Markets,UK,0.0,2.0,1.4232,computed,aggregator_panel,0.0639,0.0732,True,True,True,True,True,
SEDOL:906692,The European Smaller Companies Trust,UK,0.0,2.0,0.2986,within_error_band,aggregator_panel,0.0452,0.0593,True,True,True,True,True,
NAME:global smaller companies trust|ordinary share,The Global Smaller Companies Trust,UK,0.0,1.0,1.6058,computed,aggregator_panel,0.0072,0.0126,True,True,True,True,True,
SEDOL:0465825,The Investment Company,UK,0.0,2.0,1.6598,computed,aggregator_panel,0.0411,0.0264,True,True,True,True,True,
SEDOL:BG49KP9,Tritax Big Box REIT,UK,0.0,60.0,,no_discount_history,,0.0476,0.1127,True,False,True,True,False,z:no_discount_history
SEDOL:B90J5Z9,TwentyFour Income Fund,UK,0.0,1.0,0.8797,computed,own_daily_panel,0.045,0.0395,True,True,True,True,True,
SEDOL:BJVDZ94,TwentyFour Select Monthly Income,UK,0.0,3.0,-0.1005,within_error_band,own_daily_panel,0.0448,0.0455,True,True,True,True,True,
