ticker,name,sector,nav_route,is_vct,nav_rows_extracted,nav_announcements_indexed,readiness
BMD,Baronsmead Second Venture Trust,VCT,registry,True,0,12.0,indexed_not_archived
BNKR,Bankers Investment Trust,Global,registry,False,4626,5167.0,archived
BOOK,Literacy Capital,Private Equity,announcements_only,False,1,1.0,archived
BPCR,BioPharma Credit,Debt - Direct Lending,registry,False,0,0.0,indexed_no_nav_announcements
BRAI,BlackRock American Income,North America,registry,False,3336,3479.0,archived
BRFI,BlackRock Frontiers,Global Emerging Markets,registry,False,3797,3944.0,archived
BRGE,BlackRock Greater Europe,Europe,registry,False,4635,5186.0,archived
BRIG,BlackRock Income & Growth,UK Equity Income,registry,False,4778,5174.0,archived
BRLA,BlackRock Latin American,Latin America,registry,False,4327,5173.0,archived
BRSC,BlackRock Smaller Companies,UK Smaller Companies,registry,False,4206,5167.0,archived
BRWM,BlackRock World Mining,Commodities & Natural Resources,registry,False,4630,5167.0,archived
BSC,British Smaller Companies VCT 2,VCT,announcements_only,True,0,1.0,indexed_not_archived
BSRT,Baker Steel Resources Trust,Commodities & Natural Resources,announcements_only,False,163,165.0,archived
BSV,British Smaller Companies VCT,VCT,announcements_only,True,0,1.0,indexed_not_archived
BUT,Brunner Investment Trust,Global,registry,False,4213,5184.0,archived
BVT,Baronsmead Venture Trust,VCT,registry,True,0,12.0,indexed_not_archived
CBA,Ceiba Investments,Property - Rest of World,announcements_only,False,1,14.0,archived
CCJI,CC Japan Income & Growth Trust,Japan,registry,False,2696,2709.0,archived
CGI,Canadian General Investments,North America,announcements_only,False,3014,3179.0,archived
CGL,Castelnau Group,Flexible Investment,announcements_only,False,0,49.0,indexed_not_archived
CGT,Capital Gearing Trust,Flexible Investment,registry,False,3100,3123.0,archived
CHI,CT UK High Income Trust,UK Equity Income,registry,False,4569,4919.0,archived
CHIB,CT UK High Income Trust,UK Equity Income,registry,False,3,755.0,archived
CHRY,Chrysalis Investments,Growth Capital,registry,False,10,11.0,archived
CIP,Channel Islands Property,Property - UK Commercial,announcements_only,False,0,0.0,indexed_no_nav_announcements
CLC,Calculus VCT,VCT,announcements_only,True,0,5.0,indexed_not_archived
CLDN,Caledonia Investments,Flexible Investment,registry,False,193,247.0,archived
CMPG,CT Global Managed Portfolio Growth,Flexible Investment,registry,False,4571,4641.0,archived
CMPI,CT Global Managed Portfolio Income,Flexible Investment,registry,False,4563,4634.0,archived
CORD,Cordiant Digital Infrastructure,Infrastructure,announcements_only,False,0,0.0,indexed_no_nav_announcements
CREI,Custodian Property Income REIT,Property - UK Commercial,announcements_only,False,26,29.0,archived
CRS,Crystal Amber Fund,Flexible Investment,announcements_only,False,34,205.0,archived
CRWC,Albion Crown VCT C shares,VCT,registry,True,0,,no_listing_index
CRWN,Albion Crown VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
CTHT,CT Healthcare Trust,Biotechnology & Healthcare,registry,False,2096,2411.0,archived
CTPE,CT Private Equity Trust,Private Equity,announcements_only,False,1,1.0,archived
