ticker,obs,median_abs_change,p99_abs_change,big_moves,jump_reversals,cum_assumed_share,median_abs_change_all,reliable,suspect_rate
GOT,4118,0.0036870141378337884,0.02381286504713418,0,0,0.7314230208839242,0.0038158371166754357,True,0.0
FSV,4933,0.004963262128363732,0.03885798556014995,1,0,0.0,0.0049427324788655636,True,0.0
FAS,4172,0.006212180906672193,0.045363807627493556,0,0,0.0,0.006212180906672193,True,0.0
FVEN,1,0.0,0.0,0,0,0.0,0.020224719101123556,True,0.0
FWT,2,0.0009990009990009652,0.0019780219780219112,0,0,0.5,0.011190233977619424,True,0.0
FCSS,4104,0.008276184558631328,0.04625857670587737,0,0,0.0,0.00826296158865919,True,0.0
DIVI,3481,0.0028905531467613432,0.022289729143619076,0,0,0.07009480034472852,0.0029062421026030405,True,0.0
CVCE,76,0.0038259182687599425,0.029509476014572766,0,0,0.0,0.003615798256999758,True,0.0
CVCG,228,0.0030766251099632047,0.02870148525680938,0,0,0.0,0.0027024744531711775,True,0.0
CTY,4584,0.004895886198835908,0.03714255592617138,3,0,0.1987347294938918,0.004914579920430651,True,0.0
EDIN,4027,0.004910661460182153,0.03440030240257367,0,0,0.0,0.004931266897680864,True,0.0
FGT,4652,0.005351505864688688,0.03194932016307519,0,0,0.08061049011177988,0.005350327927446441,True,0.0
FJV,4298,0.008336036724468698,0.05014762450171251,0,0,0.0,0.008336036724468698,True,0.0
AADV,1,0.0,0.0,0,0,1.0,0.02923784494086712,True,0.0
ALW,2982,0.0,0.001814888221166909,0,0,0.9879275653923542,0.0,True,0.0
AJIT,3250,0.0063586270245714616,0.04212917180344021,5,0,0.0021538461538461538,0.0064540526912895135,True,0.0
ALF,1,0.37874251497005984,0.37874251497005984,1,0,1.0,0.37874251497005984,True,0.0
AFL,3572,0.004431473311271916,0.03020244285781424,0,0,0.0,0.0044426690600966046,True,0.0
AGVI,560,0.006526881278617558,0.04306928888924889,0,0,0.0,0.00650221901124981,True,0.0
AIC,1,0.0,0.0,0,0,0.0,0.029752448930778663,True,0.0
AIE,2043,0.005795071005540331,0.03490018916002978,0,0,0.0,0.005784121653139351,True,0.0
API,1,1265.6666666666667,1265.6666666666667,1,0,1.0,0.042359353162063185,True,0.0
ATY,1,0.0,0.0,0,0,0.0,0.025944316877152707,True,0.0
ASL,3590,0.004466425530557816,0.035774487959290883,0,0,0.0,0.004676270620306067,True,0.0
ASLI,1,0.0,0.0,0,0,0.0,0.0,True,0.0
BAF,1,0.0,0.0,0,0,0.0,0.06657164473506444,True,0.0
AWEM,848,0.005404376014878587,0.03357625072910966,0,0,0.0,0.005408653846153855,True,0.0
ENRG,1,0.0,0.0,0,0,0.0,0.039481313452096434,True,0.0
ESCT,1195,0.006172839506172867,0.03686990993332886,1,0,0.3899581589958159,0.0060606060606061,True,0.0
DNE,1,60.722222222222214,60.722222222222214,1,0,1.0,0.025728813895862623,True,0.0
BVT,3,0.0014802283780925851,0.06026831552837335,0,0,0.6666666666666666,0.01908617698091375,True,0.0
BSRT,2,0.08630759247242048,0.17088903309539255,0,0,0.0,0.022198659652270747,True,0.0
BRSC,4171,0.004455266955267101,0.03285095991200418,1,0,0.0,0.004468574153701832,True,0.0
BIOG,4920,0.009831492639323647,0.05344436701241024,0,0,0.4975609756097561,0.009808023680813682,True,0.0
BHMU,49,0.010869565217391353,0.5553741967003609,1,0,0.9183673469387755,0.007481296758104827,True,0.0
BRFI,3763,0.004065384941136507,0.027000407876566032,1,0,0.0,0.00407667954438834,True,0.0
BMD,3,0.0028812512862729234,0.06992311311181301,0,0,0.6666666666666666,0.023307436182020025,True,0.0
BRWM,4591,0.009189925119128639,0.061785506625480345,0,0,0.0,0.009206491693182883,True,0.0
CREI,1,0.001962708537782132,0.001962708537782132,0,0,1.0,0.05277044854881274,True,0.0
CRS,2,0.02555629661068337,0.050601467289153074,0,0,0.5,0.039321603364015356,True,0.0
CLDN,1,0.0,0.0,0,0,0.0,0.01373239436619722,True,0.0
CHIB,20,0.005500930409018723,0.015545047029604095,0,0,0.0,0.005500930409018723,True,0.0
CTHT,2060,0.008534872154429274,0.05021313494028596,0,0,0.0004854368932038835,0.008564773578857598,True,0.0
AUSC,3961,0.004850785616366093,0.038938931077983144,4,0,0.002019691996970462,0.004859520750712276,True,0.0
BEMO,1186,0.004727241176171959,0.028767624391243626,0,0,0.0,0.00471196226463072,True,0.0
MRV,12,0.002520266806142646,0.01756505776512346,0,0,0.75,0.004194944402662992,True,0.0
MNTN,17,0.03186491455028251,62.12636675217059,1,0,0.0,0.025917347760131326,True,0.0
MIGO,3006,0.002209264894305729,0.01938626251750946,0,0,0.0,0.0022060007651831803,True,0.0
MAJE,51,0.30153172866520794,3.5458478884097424,33,0,0.9803921568627451,0.2260602287646548,False,0.0
LWI,4628,0.005018657128347814,0.04478530475991513,5,0,0.195980985306828,0.005039596832253523,True,0.0
MHN,1011,0.004614923584057573,0.027569331561448522,0,0,0.0,0.004969906301161009,True,0.0
MMIT,2002,0.006019682878277144,0.034458380762110455,0,0,0.000999000999000999,0.006018194541637323,True,0.0
LTI,19,0.009448553190292808,32.54397727272728,2,0,0.15789473684210525,0.02262316283347965,True,0.0
JGGI,2896,0.005258780454307499,0.21120613991606624,24,0,0.019337016574585635,0.005291005291005346,True,0.0
JGC,2496,0.0052235201831390965,0.039137197019135844,5,0,0.00921474358974359,0.005309932368229964,True,0.0
JMGI,2899,0.006138886160494961,0.2106069730269886,24,0,0.019317005864091064,0.006149116064565696,True,0.0
JEGI,1162,0.0052423125110385715,0.03510274038554122,0,0,0.0,0.005198568263166781,True,0.0
