ticker,symbol,mode,status,rows,first,last,price_ccy
FA14,FA14.L,full,no_history,0,,,
FAIC,FAIC.L,full,no_history,0,,,
FAIR,FAIR.L,tail,ok,21,2026-08-03,2026-09-01,EUR
FAS,FAS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FCIF,FCIF.L,full,no_history,0,,,
FCIT,FCIT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FCO,FCO.L,full,no_history,0,,,
FCSS,FCSS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FEET,FEET.L,full,no_history,0,,,
FEML,FEML.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FEV,FEV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FFWD,FFWD.L,full,no_history,0,,,
FGEN,FGEN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FGT,FGT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FJV,FJV.L,full,no_history,0,,,
FPEO,FPEO.L,full,ok,3234,2006-01-03,2018-11-12,GBp
FRGT,FRGT.L,full,no_history,0,,,
FSF,FSF.L,full,no_history,0,,,
FSFL,FSFL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FSV,FSV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FTD,FTD.L,full,no_history,0,,,
FTF,FTF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FTFC,FTFC.L,full,no_history,0,,,
FTN,FTN.L,full,no_history,0,,,
FTNI,FTNI.L,full,ok,1,2026-07-17,2026-07-17,GBP
FTNP,FTNP.L,full,ok,935,2021-04-20,2025-01-02,GBp
FTSV,FTSV.L,full,no_history,0,,,
FTV,FTV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
FTVI,FTVI.L,full,no_history,0,,,
FTVP,FTVP.L,full,no_history,0,,,
FVEN,FVEN.L,tail,ok,25,2026-07-28,2026-09-01,GBp
FVV,FVV.L,full,ok,617,2024-03-22,2026-09-01,GBp
FWT,FWT.L,full,ok,1433,2020-03-11,2026-09-01,GBp
GABC,GABC.L,full,no_history,0,,,
GABI,GABI.L,tail,ok,25,2026-07-28,2026-09-01,GBp
GCL,GCL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GCP,GCP.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GFIR,GFIR.L,full,ok,151,2018-05-16,2018-12-28,
GHV1,GHV1.L,tail,ok,25,2026-07-28,2026-09-01,GBp
GHV2,GHV2.L,tail,ok,25,2026-07-28,2026-09-01,GBp
GIF,GIF.L,full,no_history,0,,,
GMP,GMP.L,tail,ok,21,2026-08-03,2026-09-01,USD
GOT,GOT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GPM,GPM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GRID,GRID.L,tail,ok,25,2026-07-28,2026-09-01,GBp
GRIT,GRIT.L,full,ok,3154,2014-03-07,2026-09-01,GBp
GROW,GROW.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GRP,GRP.L,tail,ok,21,2026-08-03,2026-09-01,EUR
GSCT,GSCT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
GSF,GSF.L,tail,ok,25,2026-07-28,2026-09-01,GBp
GV1O,GV1O.L,full,ok,3952,2011-01-10,2026-09-01,GBp
GV2O,GV2O.L,full,ok,3952,2011-01-10,2026-09-01,GBp
GVP,GVP.L,full,no_history,0,,,
GWI,GWI.L,full,ok,3311,2013-07-25,2026-09-01,EUR
HAN,HAN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HANA,HANA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HAST,HAST.L,full,no_history,0,,,
HDIV,HDIV.L,full,no_history,0,,,
HEIC,HEIC.L,full,no_history,0,,,
HEIT,HEIT.L,full,ok,908,2021-11-09,2025-06-18,GBp
HET,HET.L,full,ok,1,2025-09-25,2025-09-25,GBp
HFEL,HFEL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HGEN,HGEN.L,full,no_history,0,,,
HGL,HGL.L,full,no_history,0,,,
HGT,HGT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
